+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/4/4.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703135800highway_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/GNSS/4.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:49:46 "
-      时间(数据) = " 2020/07/03 05:58:21 ~ 2020/07/03 06:31:43 "
-      时间(处理) = " 2020/07/03 05:58:26 ~ 2020/07/03 06:30:12 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
453709.000    30.4700928252   114.5380771754     10.910 
453710.000    30.4701875203   114.5377973356     10.906 
453711.000    30.4702807706   114.5375159006     10.885 
453712.000    30.4703714960   114.5372372949     10.866 
453713.000    30.4704587595   114.5369634431     10.876 
453714.000    30.4705427498   114.5366945865     10.820 
453715.000    30.4706239751   114.5364299007     10.719 
453716.000    30.4707030580   114.5361653510     10.548 
453717.000    30.4707804142   114.5358984639     10.371 
453718.000    30.4708562083   114.5356285954     10.212 
453719.000    30.4709305276   114.5353558050     10.073 
453720.000    30.4710028941   114.5350806651      9.970 
453721.000    30.4710728815   114.5348039676      9.922 
453722.000    30.4711402548   114.5345250677      9.921 
453723.000    30.4712057837   114.5342441300      9.923 
453724.000    30.4712693128   114.5339627148      9.936 
453725.000    30.4713302317   114.5336827684      9.946 
453726.000    30.4713888598   114.5334022304      9.949 
453727.000    30.4714455974   114.5331197452      9.976 
453728.000    30.4715003799   114.5328350181      9.998 
453729.000    30.4715531215   114.5325479770     10.054 
453730.000    30.4716033838   114.5322596895     10.096 
453731.000    30.4716514432   114.5319732073     10.153 
453732.000    30.4716973737   114.5316880782     10.221 
453733.000    30.4717410428   114.5314019112     10.299 
453734.000    30.4717812913   114.5311145462     10.403 
453735.000    30.4718189462   114.5308274668     10.520 
453736.000    30.4718553414   114.5305397248     10.619 
453737.000    30.4718902598   114.5302508698     10.766 
453738.000    30.4719226793   114.5299617348     10.885 
453739.000    30.4719524147   114.5296746402     11.072 
453740.000    30.4719796538   114.5293898014     11.247 
453741.000    30.4720039231   114.5291088199     11.408 
453742.000    30.4720255654   114.5288333702     11.589 
453743.000    30.4720451010   114.5285611071     11.787 
453744.000    30.4720625724   114.5282886272     11.981 
453745.000    30.4720780232   114.5280150446     12.202 
453746.000    30.4720913289   114.5277402944     12.435 
453747.000    30.4721024414   114.5274648025     12.678 
453748.000    30.4721114943   114.5271883881     12.951 
453749.000    30.4721182389   114.5269108324     13.227 
453750.000    30.4721219871   114.5266321427     13.510 
453751.000    30.4721229544   114.5263523640     13.784 
453752.000    30.4721217224   114.5260715198     14.088 
453753.000    30.4721187674   114.5257896450     14.368 
453754.000    30.4721138742   114.5255067957     14.704 
453755.000    30.4721070770   114.5252229229     15.069 
453756.000    30.4720980451   114.5249381575     15.435 
453757.000    30.4720864588   114.5246527844     15.797 
453758.000    30.4720726417   114.5243688892     16.184 
453759.000    30.4720574701   114.5240878255     16.546 
453760.000    30.4720407468   114.5238085530     16.895 
453761.000    30.4720220872   114.5235294457     17.269 
453762.000    30.4720017216   114.5232498551     17.651 
453763.000    30.4719801179   114.5229695621     17.982 
453764.000    30.4719572554   114.5226883992     18.336 
453765.000    30.4719332358   114.5224068794     18.709 
453766.000    30.4719078249   114.5221261943     19.066 
453767.000    30.4718813935   114.5218456769     19.453 
453768.000    30.4718547869   114.5215648277     19.815 
453769.000    30.4718285211   114.5212831842     20.157 
453770.000    30.4718022963   114.5210006864     20.520 
453771.000    30.4717757831   114.5207173339     20.905 
453772.000    30.4717485435   114.5204334973     21.291 
453773.000    30.4717214133   114.5201503021     21.668 
453774.000    30.4716944234   114.5198680903     22.037 
453775.000    30.4716673007   114.5195863565     22.421 
453776.000    30.4716400349   114.5193047533     22.817 
453777.000    30.4716123448   114.5190227800     23.189 
453778.000    30.4715842669   114.5187406566     23.558 
453779.000    30.4715566553   114.5184591548     23.919 
453780.000    30.4715297295   114.5181782407     24.289 
453781.000    30.4715031175   114.5178971513     24.685 
453782.000    30.4714763500   114.5176153516     25.053 
453783.000    30.4714501147   114.5173326206     25.426 
453784.000    30.4714262269   114.5170487659     25.796 
453785.000    30.4714043600   114.5167637736     26.174 
453786.000    30.4713841112   114.5164775045     26.550 
453787.000    30.4713650643   114.5161901156     26.952 
453788.000    30.4713471479   114.5159014085     27.335 
453789.000    30.4713302560   114.5156117922     27.723 
453790.000    30.4713145213   114.5153226966     28.076 
453791.000    30.4712998150   114.5150353995     28.415 
453792.000    30.4712859455   114.5147488760     28.690 
453793.000    30.4712726842   114.5144628416     28.872 
453794.000    30.4712610381   114.5141783099     28.992 
453795.000    30.4712506693   114.5138941858     29.064 
453796.000    30.4712408122   114.5136099169     29.069 
453797.000    30.4712320812   114.5133280225     29.010 
453798.000    30.4712246426   114.5130505075     28.901 
453799.000    30.4712185322   114.5127746021     28.716 
453800.000    30.4712144623   114.5124985175     28.489 
453801.000    30.4712123674   114.5122217272     28.215 
453802.000    30.4712116245   114.5119440535     27.843 
453803.000    30.4712120797   114.5116654026     27.465 
453804.000    30.4712131434   114.5113856590     27.084 
453805.000    30.4712137548   114.5111047743     26.707 
453806.000    30.4712146046   114.5108222762     26.342 
453807.000    30.4712171826   114.5105370539     25.960 
453808.000    30.4712209019   114.5102487719     25.565 
453809.000    30.4712254056   114.5099575454     25.178 
453810.000    30.4712326545   114.5096634624     24.781 
453811.000    30.4712421133   114.5093669630     24.384 
453812.000    30.4712535267   114.5090680767     23.977 
453813.000    30.4712664048   114.5087663155     23.562 
453814.000    30.4712801283   114.5084615496     23.144 
453815.000    30.4712951832   114.5081538922     22.770 
453816.000    30.4713117852   114.5078440211     22.438 
453817.000    30.4713297553   114.5075355640     22.148 
453818.000    30.4713483954   114.5072283364     21.906 
453819.000    30.4713679740   114.5069197734     21.701 
453820.000    30.4713887854   114.5066092989     21.527 
453821.000    30.4714113918   114.5062973712     21.415 
453822.000    30.4714361410   114.5059872715     21.355 
453823.000    30.4714620758   114.5056828145     21.315 
453824.000    30.4714892537   114.5053845612     21.342 
453825.000    30.4715171846   114.5050920260     21.348 
453826.000    30.4715455115   114.5048034279     21.391 
453827.000    30.4715746258   114.5045184625     21.528 
453828.000    30.4716047044   114.5042373671     21.752 
453829.000    30.4716354130   114.5039604273     21.951 
453830.000    30.4716672837   114.5036872558     22.120 
453831.000    30.4716998264   114.5034171303     22.440 
453832.000    30.4717330174   114.5031488140     22.714 
453833.000    30.4717661982   114.5028820092     22.977 
453834.000    30.4718004863   114.5026163526     23.243 
453835.000    30.4718358134   114.5023507215     23.512 
453836.000    30.4718723480   114.5020845834     23.769 
453837.000    30.4719101389   114.5018186839     23.993 
453838.000    30.4719491840   114.5015528670     24.303 
453839.000    30.4719900672   114.5012865180     24.560 
453840.000    30.4720316563   114.5010199464     24.837 
453841.000    30.4720734571   114.5007526521     25.104 
453842.000    30.4721164097   114.5004844278     25.329 
453843.000    30.4721600590   114.5002154282     25.652 
453844.000    30.4722048617   114.4999461815     25.931 
453845.000    30.4722509411   114.4996774074     26.202 
453846.000    30.4722983513   114.4994091033     26.457 
453847.000    30.4723473919   114.4991412451     26.738 
453848.000    30.4723981113   114.4988733319     27.013 
453849.000    30.4724497160   114.4986051453     27.283 
453850.000    30.4725015137   114.4983401338     27.552 
453851.000    30.4725542642   114.4980772280     27.823 
453852.000    30.4726073820   114.4978137338     28.106 
453853.000    30.4726607776   114.4975490442     28.360 
453854.000    30.4727145846   114.4972839683     28.576 
453855.000    30.4727681982   114.4970199738     28.738 
453856.000    30.4728212510   114.4967561343     28.831 
453857.000    30.4728729733   114.4964915854     28.882 
453858.000    30.4729229170   114.4962270897     28.879 
453859.000    30.4729714184   114.4959645653     28.833 
453860.000    30.4730183829   114.4957015191     28.729 
453861.000    30.4730647163   114.4954363870     28.588 
453862.000    30.4731106314   114.4951687777     28.387 
453863.000    30.4731554398   114.4948983725     28.148 
453864.000    30.4731992432   114.4946252019     27.847 
453865.000    30.4732425177   114.4943493285     27.504 
453866.000    30.4732856529   114.4940707708     27.102 
453867.000    30.4733286503   114.4937896288     26.629 
453868.000    30.4733710403   114.4935076570     26.131 
453869.000    30.4734124886   114.4932251065     25.626 
453870.000    30.4734529154   114.4929448510     25.141 
453871.000    30.4734925286   114.4926661706     24.652 
453872.000    30.4735322303   114.4923854355     24.159 
453873.000    30.4735722687   114.4921018688     23.653 
453874.000    30.4736124509   114.4918153026     23.145 
453875.000    30.4736517194   114.4915260377     22.717 
453876.000    30.4736897617   114.4912355353     22.362 
453877.000    30.4737255863   114.4909460930     22.081 
453878.000    30.4737589938   114.4906585331     21.876 
453879.000    30.4737905410   114.4903732273     21.740 
453880.000    30.4738204521   114.4900904557     21.691 
453881.000    30.4738490762   114.4898104637     21.713 
453882.000    30.4738760203   114.4895335506     21.786 
453883.000    30.4739009113   114.4892596766     21.896 
453884.000    30.4739233105   114.4889878204     22.078 
453885.000    30.4739448341   114.4887171825     22.393 
453886.000    30.4739663155   114.4884471446     22.687 
453887.000    30.4739878748   114.4881783627     23.078 
453888.000    30.4740082491   114.4879131565     23.602 
453889.000    30.4740263415   114.4876523907     24.122 
