+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/5/5.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703143107_around_wnlbs.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/GNSS/5.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 15:03:36 "
-      时间(数据) = " 2020/07/03 06:31:46 ~ 2020/07/03 07:21:06 "
-      时间(处理) = " 2020/07/03 06:32:33 ~ 2020/07/03 07:21:06 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
455717.000    30.4853182892   114.5635404989     24.025 
455718.000    30.4853180802   114.5635405093     24.025 
455719.000    30.4853177580   114.5635405336     24.027 
455720.000    30.4853172748   114.5635405694     24.029 
455721.000    30.4853166905   114.5635406044     24.030 
455722.000    30.4853158971   114.5635406273     24.029 
455723.000    30.4853149410   114.5635406779     24.026 
455724.000    30.4853140935   114.5635407498     24.023 
455725.000    30.4853133654   114.5635408188     24.023 
455726.000    30.4853128554   114.5635408572     24.025 
455727.000    30.4853126011   114.5635408831     24.026 
455728.000    30.4853125064   114.5635408811     24.027 
455729.000    30.4853124592   114.5635408830     24.027 
455730.000    30.4853124363   114.5635408945     24.025 
455731.000    30.4853124100   114.5635409074     24.023 
455732.000    30.4853123815   114.5635409120     24.021 
455733.000    30.4853123447   114.5635409160     24.020 
455734.000    30.4853123112   114.5635409172     24.019 
455735.000    30.4853122861   114.5635409207     24.019 
455736.000    30.4853122646   114.5635409293     24.019 
455737.000    30.4853122475   114.5635409266     24.019 
455738.000    30.4853122183   114.5635409210     24.020 
455739.000    30.4853122014   114.5635409163     24.022 
455740.000    30.4853121768   114.5635409306     24.023 
455741.000    30.4853121572   114.5635409348     24.024 
455742.000    30.4853121398   114.5635409322     24.025 
455743.000    30.4853121242   114.5635409444     24.025 
455744.000    30.4853121013   114.5635409376     24.026 
455745.000    30.4853120757   114.5635409475     24.026 
455746.000    30.4853120624   114.5635409525     24.026 
455747.000    30.4853120495   114.5635409519     24.026 
455748.000    30.4853120319   114.5635409510     24.026 
455749.000    30.4853120218   114.5635409521     24.027 
455750.000    30.4853120051   114.5635409517     24.027 
455751.000    30.4853119859   114.5635409504     24.026 
455752.000    30.4853119717   114.5635409456     24.025 
455753.000    30.4853119650   114.5635409546     24.025 
455754.000    30.4853119501   114.5635409587     24.025 
455755.000    30.4853119246   114.5635409591     24.024 
455756.000    30.4853118990   114.5635409625     24.025 
455757.000    30.4853118975   114.5635409585     24.025 
455758.000    30.4853118935   114.5635409629     24.026 
455759.000    30.4853118816   114.5635409617     24.025 
455760.000    30.4853118606   114.5635409704     24.025 
455761.000    30.4853118520   114.5635409702     24.024 
455762.000    30.4853118376   114.5635409671     24.025 
455763.000    30.4853118216   114.5635409683     24.024 
455764.000    30.4853118105   114.5635409678     24.024 
455765.000    30.4853117871   114.5635409736     24.024 
455766.000    30.4853117773   114.5635409736     24.024 
455767.000    30.4853117643   114.5635409795     24.023 
455768.000    30.4853117517   114.5635409832     24.022 
455769.000    30.4853117433   114.5635409803     24.021 
455770.000    30.4853117293   114.5635409832     24.022 
455771.000    30.4853117149   114.5635409797     24.022 
455772.000    30.4853117004   114.5635409887     24.022 
455773.000    30.4853116945   114.5635409895     24.023 
455774.000    30.4853116754   114.5635409822     24.023 
455775.000    30.4853116581   114.5635409778     24.023 
455776.000    30.4853116494   114.5635409768     24.021 
455777.000    30.4853116321   114.5635409748     24.020 
455778.000    30.4853116055   114.5635409749     24.020 
455779.000    30.4853115837   114.5635409754     24.022 
455780.000    30.4853115680   114.5635409782     24.021 
455781.000    30.4853115457   114.5635409769     24.019 
455782.000    30.4853115274   114.5635409730     24.019 
455783.000    30.4853115030   114.5635409811     24.019 
455784.000    30.4853114794   114.5635409879     24.018 
455785.000    30.4853114318   114.5635409859     24.019 
455786.000    30.4853114180   114.5635409881     24.018 
455787.000    30.4853114071   114.5635409845     24.017 
455788.000    30.4853113946   114.5635409923     24.015 
455789.000    30.4853113770   114.5635409967     24.016 
455790.000    30.4853113590   114.5635409960     24.019 
455791.000    30.4853113331   114.5635409906     24.020 
455792.000    30.4853113120   114.5635409867     24.020 
455793.000    30.4853113028   114.5635409927     24.019 
455794.000    30.4853112879   114.5635410045     24.018 
455795.000    30.4853112735   114.5635410075     24.016 
455796.000    30.4853112702   114.5635410056     24.015 
455797.000    30.4853112591   114.5635410056     24.014 
455798.000    30.4853112391   114.5635409984     24.015 
455799.000    30.4853112237   114.5635409987     24.015 
455800.000    30.4853112212   114.5635410018     24.015 
455801.000    30.4853112181   114.5635410020     24.014 
455802.000    30.4853112167   114.5635409987     24.011 
455803.000    30.4853112011   114.5635410009     24.011 
455804.000    30.4853111884   114.5635410013     24.013 
455805.000    30.4853111783   114.5635409981     24.016 
455806.000    30.4853111637   114.5635409951     24.017 
455807.000    30.4853111432   114.5635409917     24.014 
455808.000    30.4853111308   114.5635410001     24.013 
455809.000    30.4853111249   114.5635410052     24.012 
455810.000    30.4853111110   114.5635410058     24.012 
455811.000    30.4853111067   114.5635410070     24.014 
455812.000    30.4853110954   114.5635410100     24.014 
455813.000    30.4853110816   114.5635410145     24.015 
455814.000    30.4853110657   114.5635410158     24.016 
455815.000    30.4853110503   114.5635410011     24.016 
455816.000    30.4853110412   114.5635410044     24.015 
455817.000    30.4853110226   114.5635410113     24.016 
455818.000    30.4853110106   114.5635410067     24.016 
455819.000    30.4853110136   114.5635410126     24.015 
455820.000    30.4853109907   114.5635410043     24.014 
455821.000    30.4853109773   114.5635410031     24.013 
455822.000    30.4853109658   114.5635410059     24.014 
455823.000    30.4853109561   114.5635410070     24.013 
455824.000    30.4853109513   114.5635410089     24.014 
455825.000    30.4853109340   114.5635410134     24.014 
455826.000    30.4853109213   114.5635410065     24.015 
455827.000    30.4853109050   114.5635410034     24.016 
455828.000    30.4853108973   114.5635410089     24.018 
455829.000    30.4853108896   114.5635410132     24.018 
455830.000    30.4853108769   114.5635410118     24.018 
455831.000    30.4853108746   114.5635410132     24.018 
455832.000    30.4853108588   114.5635410229     24.019 
455833.000    30.4853108494   114.5635410331     24.020 
455834.000    30.4853108425   114.5635410368     24.020 
455835.000    30.4853108399   114.5635410376     24.019 
455836.000    30.4853108278   114.5635410328     24.019 
455837.000    30.4853108181   114.5635410289     24.019 
455838.000    30.4853108116   114.5635410395     24.018 
455839.000    30.4853108032   114.5635410396     24.016 
455840.000    30.4853107915   114.5635410320     24.016 
455841.000    30.4853107835   114.5635410347     24.016 
455842.000    30.4853107726   114.5635410454     24.018 
455843.000    30.4853107645   114.5635410389     24.019 
455844.000    30.4853107604   114.5635410484     24.018 
455845.000    30.4853107552   114.5635410620     24.017 
455846.000    30.4853107395   114.5635410552     24.017 
455847.000    30.4853107329   114.5635410496     24.017 
455848.000    30.4853107198   114.5635410620     24.018 
455849.000    30.4853107154   114.5635410639     24.020 
455850.000    30.4853107121   114.5635410625     24.020 
455851.000    30.4853107027   114.5635410628     24.021 
455852.000    30.4853106952   114.5635410538     24.020 
455853.000    30.4853106875   114.5635410603     24.020 
455854.000    30.4853106844   114.5635410592     24.021 
455855.000    30.4853106738   114.5635410525     24.021 
455856.000    30.4853106587   114.5635410540     24.021 
455857.000    30.4853106373   114.5635410524     24.023 
455858.000    30.4853106298   114.5635410462     24.022 
455859.000    30.4853106306   114.5635410477     24.020 
455860.000    30.4853106279   114.5635410516     24.021 
455861.000    30.4853106091   114.5635410552     24.020 
455862.000    30.4853105992   114.5635410554     24.021 
455863.000    30.4853105915   114.5635410515     24.021 
455864.000    30.4853105803   114.5635410670     24.021 
455865.000    30.4853105748   114.5635410543     24.020 
455866.000    30.4853105737   114.5635410607     24.020 
455867.000    30.4853105603   114.5635410703     24.019 
455868.000    30.4853105537   114.5635410776     24.019 
455869.000    30.4853105467   114.5635410751     24.020 
455870.000    30.4853105323   114.5635410696     24.021 
455871.000    30.4853105310   114.5635410694     24.020 
455872.000    30.4853105276   114.5635410673     24.020 
455873.000    30.4853105288   114.5635410708     24.021 
455874.000    30.4853105281   114.5635410748     24.021 
455875.000    30.4853105240   114.5635410673     24.019 
455876.000    30.4853105210   114.5635410679     24.019 
455877.000    30.4853105127   114.5635410610     24.019 
455878.000    30.4853105068   114.5635410731     24.019 
455879.000    30.4853105017   114.5635410780     24.019 
455880.000    30.4853104923   114.5635410721     24.020 
455881.000    30.4853104908   114.5635410745     24.023 
455882.000    30.4853104864   114.5635410833     24.024 
455883.000    30.4853104877   114.5635410868     24.024 
455884.000    30.4853104893   114.5635410854     24.023 
455885.000    30.4853104850   114.5635410843     24.022 
455886.000    30.4853104797   114.5635410753     24.021 
455887.000    30.4853104744   114.5635410737     24.020 
455888.000    30.4853104737   114.5635410795     24.021 
455889.000    30.4853104765   114.5635410758     24.020 
455890.000    30.4853104779   114.5635410746     24.018 
455891.000    30.4853104680   114.5635410750     24.016 
455892.000    30.4853104565   114.5635410719     24.016 
455893.000    30.4853104568   114.5635410715     24.016 
455894.000    30.4853104635   114.5635410795     24.018 
455895.000    30.4853104590   114.5635410782     24.020 
455896.000    30.4853104557   114.5635410825     24.020 
455897.000    30.4853104365   114.5635410834     24.020 
455898.000    30.4853104377   114.5635410852     24.019 
455899.000    30.4853104409   114.5635410911     24.018 
455900.000    30.4853104439   114.5635410926     24.018 
455901.000    30.4853104443   114.5635410862     24.018 
455902.000    30.4853104425   114.5635410865     24.017 
455903.000    30.4853104454   114.5635410924     24.018 
455904.000    30.4853104405   114.5635410854     24.018 
455905.000    30.4853104324   114.5635410833     24.019 
455906.000    30.4853104260   114.5635410783     24.018 
455907.000    30.4853104180   114.5635410736     24.018 
455908.000    30.4853104172   114.5635410739     24.017 
455909.000    30.4853104200   114.5635410743     24.014 
455910.000    30.4853104127   114.5635410779     24.013 
455911.000    30.4853104197   114.5635410757     24.013 
455912.000    30.4853104200   114.5635410764     24.013 
