+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS/2.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:48:42 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:33:00 ~ 2020/07/03 05:47:41 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
452138.000    30.4570835322   114.6603050309     12.665 
452139.000    30.4570835447   114.6603050234     12.666 
452140.000    30.4570835457   114.6603050237     12.667 
452141.000    30.4570835409   114.6603050152     12.667 
452142.000    30.4570835475   114.6603050092     12.666 
452143.000    30.4570835502   114.6603050166     12.665 
452144.000    30.4570835474   114.6603050183     12.664 
452145.000    30.4570835436   114.6603050197     12.664 
452146.000    30.4570835497   114.6603050181     12.663 
452147.000    30.4570835520   114.6603050119     12.663 
452148.000    30.4570849113   114.6603062663     12.661 
452149.000    30.4570870933   114.6603080613     12.655 
452150.000    30.4570884907   114.6603091468     12.650 
452151.000    30.4570885151   114.6603091700     12.646 
452152.000    30.4570885143   114.6603091735     12.644 
452153.000    30.4570885171   114.6603091602     12.642 
452154.000    30.4570885181   114.6603091658     12.640 
452155.000    30.4570885160   114.6603091645     12.640 
452156.000    30.4570885200   114.6603091668     12.639 
452157.000    30.4570885200   114.6603091758     12.639 
452158.000    30.4570885258   114.6603091793     12.639 
452159.000    30.4570885245   114.6603091762     12.638 
452160.000    30.4570885140   114.6603091622     12.638 
452161.000    30.4570885141   114.6603091717     12.636 
452162.000    30.4570885197   114.6603091765     12.636 
452163.000    30.4570885191   114.6603091620     12.638 
452164.000    30.4570885274   114.6603091614     12.638 
