   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   Q
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 486548.00    30.4871447706   114.5638129318     26.462     -2.755     -8.006   -0.110 
 486549.00    30.4870700364   114.5637824773     26.334     -3.032     -8.562   -0.109 
 486550.00    30.4869926315   114.5637502207     26.184     -3.124     -8.607   -0.156 
 486551.00    30.4869141132   114.5637171254     26.036     -3.230     -8.818   -0.135 
 486552.00    30.4868336704   114.5636834458     25.887     -3.221     -9.029   -0.107 
 486553.00    30.4867515661   114.5636505242     25.755     -3.143     -9.186   -0.113 
 486554.00    30.4866678918   114.5636188764     25.609     -2.984     -9.402   -0.154 
 486555.00    30.4865814276   114.5635895870     25.442     -2.751     -9.747   -0.176 
 486556.00    30.4864926405   114.5635643627     25.283     -2.262     -9.930   -0.158 
 486557.00    30.4864019902   114.5635447918     25.123     -1.719    -10.199   -0.166 
 486558.00    30.4863086233   114.5635304771     24.947     -1.223    -10.505   -0.168 
 486559.00    30.4862127439   114.5635205319     24.766     -0.861    -10.751   -0.197 
 486560.00    30.4861148467   114.5635129867     24.596     -0.646    -10.977   -0.167 
 486561.00    30.4860151202   114.5635086704     24.438     -0.296    -11.107   -0.183 
 486562.00    30.4859155176   114.5635084266     24.267      0.119    -11.026   -0.194 
 486563.00    30.4858161341   114.5635125801     24.082      0.549    -11.063   -0.205 
 486564.00    30.4857152812   114.5635207884     23.900      0.894    -11.303   -0.166 
 486565.00    30.4856128275   114.5635321041     23.747      1.185    -11.423   -0.166 
 486566.00    30.4855087471   114.5635458375     23.559      1.385    -11.691   -0.211 
 486567.00    30.4854023494   114.5635609917     23.400      1.487    -11.875   -0.094 
 486568.00    30.4852947977   114.5635764999     23.343      1.471    -11.985   -0.085 
 486569.00    30.4851864387   114.5635903740     23.220      1.265    -12.018   -0.097 
 486570.00    30.4850787066   114.5636022179     23.136      1.069    -11.807   -0.124 
 486571.00    30.4849728374   114.5636145556     23.067      1.175    -11.677   -0.028 
 486572.00    30.4848678363   114.5636281903     23.019      1.359    -11.637   -0.025 
 486573.00    30.4847626578   114.5636428185     23.008      1.421    -11.712    0.002 
 486574.00    30.4846563187   114.5636576094     22.966      1.412    -11.871   -0.044 
 486575.00    30.4845491530   114.5636714585     22.912      1.260    -11.845   -0.042 
 486576.00    30.4844422858   114.5636835054     22.869      1.110    -11.891   -0.007 
 486577.00    30.4843345722   114.5636946159     22.860      1.049    -11.966   -0.014 
 486578.00    30.4842266965   114.5637050202     22.843      0.989    -11.952   -0.022 
 486579.00    30.4841190167   114.5637163212     22.792      1.139    -11.965    0.015 
 486580.00    30.4840113672   114.5637290220     22.779      1.254    -11.945   -0.013 
 486581.00    30.4839036246   114.5637431636     22.756      1.434    -11.968    0.048 
 486582.00    30.4837959833   114.5637588692     22.747      1.503    -11.929    0.023 
 486583.00    30.4836900286   114.5637732743     22.765      1.333    -11.540    0.027 
 486584.00    30.4835878077   114.5637858051     22.774      1.121    -11.069   -0.060 
 486585.00    30.4834904404   114.5637967390     22.803      1.016    -10.467   -0.005 
 486586.00    30.4833986591   114.5638069301     22.801      0.948     -9.817   -0.006 
 486587.00    30.4833162546   114.5638161264     22.818      0.798     -8.408    0.007 
 486588.00    30.4832443589   114.5638243451     22.835      0.772     -7.691   -0.007 
 486589.00    30.4831776338   114.5638321492     22.844      0.747     -7.100    0.010 
 486590.00    30.4831169165   114.5638411896     22.858      0.851     -6.238    0.017 
 486591.00    30.4830683920   114.5638498258     22.869      0.749     -4.768   -0.009 
 486592.00    30.4830286820   114.5638582367     22.869      0.778     -4.204    0.013 
 486593.00    30.4829883046   114.5638711669     22.866      1.416     -4.693    0.082 
 486594.00    30.4829490155   114.5638938541     22.953      2.329     -4.230    0.087 
 486595.00    30.4829154337   114.5639308120     23.037      3.916     -3.688    0.052 
 486596.00    30.4828876047   114.5639836836     23.084      5.509     -3.025    0.046 
 486597.00    30.4828642831   114.5640486829     23.142      6.602     -2.362    0.048 
 486598.00    30.4828487836   114.5641246340     23.234      7.647     -1.530    0.109 
 486599.00    30.4828359880   114.5642087667     23.330      8.427     -1.435    0.072 
 486600.00    30.4828226869   114.5642998971     23.428      9.026     -1.536    0.130 
 486601.00    30.4828080720   114.5643961358     23.564      9.422     -1.700    0.142 
 486602.00    30.4827911995   114.5644924410     23.688      9.049     -1.992    0.136 
 486603.00    30.4827714685   114.5645845182     23.801      8.714     -2.284    0.112 
 486604.00    30.4827506898   114.5646742161     23.913      8.538     -2.276    0.154 
 486605.00    30.4827313764   114.5647646929     24.053      8.858     -2.109    0.119 
 486606.00    30.4827116856   114.5648563409     24.133      8.679     -2.192    0.033 
 486607.00    30.4826929589   114.5649441569     24.206      8.201     -2.054    0.101 
 486608.00    30.4826726381   114.5650272361     24.334      7.929     -2.395    0.154 
 486609.00    30.4826494467   114.5651090274     24.448      7.883     -2.600    0.107 
 486610.00    30.4826278736   114.5651923103     24.541      8.046     -2.186    0.072 
 486611.00    30.4826106041   114.5652779867     24.630      8.297     -1.811    0.093 
 486612.00    30.4825956455   114.5653653871     24.723      8.412     -1.555    0.084 
 486613.00    30.4825826718   114.5654516745     24.823      8.035     -1.414    0.123 
 486614.00    30.4825692609   114.5655320010     24.951      7.394     -1.537    0.128 
 486615.00    30.4825547681   114.5656048065     25.065      6.616     -1.616    0.104 
 486616.00    30.4825386029   114.5656693488     25.151      5.853     -1.862    0.087 
 486617.00    30.4825190328   114.5657243013     25.237      4.902     -2.301    0.099 
 486618.00    30.4824928860   114.5657692075     25.326      4.219     -3.093    0.069 
 486619.00    30.4824593977   114.5658071861     25.387      3.577     -3.945    0.055 
 486620.00    30.4824180776   114.5658367007     25.399      2.788     -4.905    0.030 
 486621.00    30.4823676918   114.5658578751     25.419      1.990     -6.004    0.051 
 486622.00    30.4823085623   114.5658751036     25.451      1.677     -7.018    0.004 
 486623.00    30.4822400215   114.5658892176     25.449      1.270     -8.085   -0.013 
 486624.00    30.4821623841   114.5658991666     25.439      0.959     -9.051    0.018 
 486625.00    30.4820768297   114.5659099718     25.415      1.113     -9.897    0.021 
 486626.00    30.4819840448   114.5659226727     25.401      1.315    -10.674   -0.107 
 486627.00    30.4818844977   114.5659381104     25.356      1.616    -11.391    0.008 
 486628.00    30.4817788482   114.5659566365     25.318      1.868    -12.050    0.002 
 486629.00    30.4816672425   114.5659765166     25.305      1.907    -12.693   -0.017 
 486630.00    30.4815497778   114.5659961643     25.274      1.877    -13.342   -0.018 
 486631.00    30.4814265728   114.5660148715     25.265      1.747    -13.958   -0.021 
 486632.00    30.4812980439   114.5660326610     25.304      1.748    -14.511    0.066 
 486633.00    30.4811649589   114.5660512529     25.363      1.806    -15.003    0.061 
 486634.00    30.4810275408   114.5660701646     25.453      1.828    -15.475    0.137 
 486635.00    30.4808859661   114.5660892525     25.532      1.858    -15.926    0.093 
 486636.00    30.4807424692   114.5661081456     25.587      1.782    -15.774    0.032 
 486637.00    30.4806019290   114.5661263489     25.670      1.734    -15.348   -0.000 
 486638.00    30.4804651728   114.5661445482     25.665      1.721    -14.963    0.040 
 486639.00    30.4803315257   114.5661623680     25.692      1.699    -14.715   -0.027 
 486640.00    30.4801994731   114.5661799631     25.685      1.702    -14.544   -0.082 
 486641.00    30.4800688155   114.5661975657     25.649      1.687    -14.415   -0.039 
 486642.00    30.4799394120   114.5662152102     25.599      1.696    -14.287   -0.080 
 486643.00    30.4798110902   114.5662334586     25.581      1.790    -14.182   -0.019 
 486644.00    30.4796836017   114.5662523857     25.530      1.802    -14.086   -0.052 
 486645.00    30.4795570866   114.5662706223     25.503      1.723    -13.899   -0.030 
 486646.00    30.4794334827   114.5662886949     25.529      1.746    -13.524    0.015 
 486647.00    30.4793133716   114.5663068781     25.529      1.741    -13.090    0.009 
 486648.00    30.4791977425   114.5663244875     25.510      1.623    -12.441   -0.041 
 486649.00    30.4790907436   114.5663399135     25.496      1.390    -11.434   -0.047 
 486650.00    30.4789918496   114.5663534627     25.540      1.214    -10.312    0.050 
 486651.00    30.4789060311   114.5663656026     25.515      1.089     -8.730   -0.033 
 486652.00    30.4788336997   114.5663764931     25.516      0.970     -7.445    0.006 
 486653.00    30.4787721074   114.5663864635     25.499      0.880     -6.075   -0.031 
 486654.00    30.4787251965   114.5663956682     25.471      0.771     -4.332    0.000 
 486655.00    30.4786907454   114.5664040190     25.477      0.721     -3.406    0.028 
 486656.00    30.4786643943   114.5664119777     25.493      0.658     -2.591    0.033 
 486657.00    30.4786412729   114.5664206092     25.510      0.795     -2.576    0.016 
 486658.00    30.4786204529   114.5664307588     25.538      0.882     -2.172   -0.013 
 486659.00    30.4786031439   114.5664427300     25.551      1.002     -1.807    0.004 
 486660.00    30.4785884431   114.5664557076     25.550      1.228     -1.740    0.002 
 486661.00    30.4785723542   114.5664699636     25.552      1.386     -1.965   -0.010 
 486662.00    30.4785512302   114.5664846751     25.548      1.427     -2.366   -0.016 
 486663.00    30.4785282313   114.5664971168     25.546      1.274     -2.661   -0.015 
 486664.00    30.4785021341   114.5665076934     25.564      1.115     -3.033   -0.002 
 486665.00    30.4784724913   114.5665181234     25.549      1.045     -3.338   -0.037 
 486666.00    30.4784478547   114.5665279886     25.512      0.681     -1.946   -0.026 
 486667.00    30.4784312148   114.5665361400     25.492      0.781     -1.904   -0.019 
 486668.00    30.4784142445   114.5665465902     25.457      0.970     -1.915   -0.049 
 486669.00    30.4783974820   114.5665603754     25.422      1.365     -2.060   -0.047 
 486670.00    30.4783795171   114.5665802095     25.374      2.027     -2.184   -0.049 
 486671.00    30.4783606043   114.5666110657     25.301      3.394     -2.325   -0.101 
 486672.00    30.4783428669   114.5666561766     25.210      4.743     -1.947   -0.106 
 486673.00    30.4783297327   114.5667147983     25.090      6.108     -1.421   -0.080 
 486674.00    30.4783201296   114.5667849165     24.966      7.128     -0.872   -0.170 
 486675.00    30.4783155623   114.5668639912     24.805      7.905     -0.354   -0.161 
 486676.00    30.4783148431   114.5669502692     24.650      8.601      0.029   -0.156 
 486677.00    30.4783159743   114.5670435164     24.502      9.260      0.156   -0.148 
 486678.00    30.4783172527   114.5671433327     24.338      9.881      0.123   -0.149 
 486679.00    30.4783179006   114.5672495398     24.155     10.538      0.018   -0.244 
 486680.00    30.4783171409   114.5673623818     23.953     11.030     -0.137   -0.188 
 486681.00    30.4783153439   114.5674763238     23.769     10.846     -0.236   -0.179 
 486682.00    30.4783133872   114.5675877919     23.575     10.525     -0.182   -0.207 
 486683.00    30.4783125629   114.5676952384     23.405     10.155     -0.008   -0.180 
 486684.00    30.4783131788   114.5677999536     23.234      9.935      0.103   -0.202 
 486685.00    30.4783144854   114.5679021771     23.064      9.697      0.172   -0.162 
 486686.00    30.4783174152   114.5680022035     22.884      9.532      0.432   -0.170 
 486687.00    30.4783227781   114.5681016053     22.714      9.526      0.694   -0.175 
 486688.00    30.4783301094   114.5682024744     22.558      9.865      0.857   -0.166 
 486689.00    30.4783368990   114.5683080249     22.391     10.432      0.643   -0.150 
 486690.00    30.4783411868   114.5684192900     22.226     10.991      0.361   -0.138 
 486691.00    30.4783428646   114.5685368124     22.038     11.562      0.104   -0.224 
 486692.00    30.4783428529   114.5686576951     21.838     11.637     -0.075   -0.184 
 486693.00    30.4783421857   114.5687814960     21.647     12.115     -0.080   -0.231 
 486694.00    30.4783411997   114.5689092750     21.423     12.521     -0.149   -0.225 
 486695.00    30.4783400268   114.5690416878     21.193     12.776     -0.114   -0.150 
 486696.00    30.4783394388   114.5691752070     20.979     12.860     -0.040   -0.213 
 486697.00    30.4783394378   114.5693109413     20.668     13.230      0.021   -0.441 
 486698.00    30.4783399189   114.5694500177     20.498     13.377      0.116   -0.284 
 486699.00    30.4783404449   114.5695885239     20.260     13.287      0.040   -0.256 
 486700.00    30.4783400190   114.5697271080     20.032     13.378     -0.107   -0.233 
 486701.00    30.4783384621   114.5698672927     19.807     13.580     -0.221   -0.230 
 486702.00    30.4783359004   114.5700098757     19.573     13.843     -0.298   -0.257 
 486703.00    30.4783339239   114.5701561272     19.323     14.266     -0.148   -0.254 
 486704.00    30.4783336460   114.5703076219     19.057     14.785      0.021   -0.235 
 486705.00    30.4783343120   114.5704641472     18.799     15.205      0.119   -0.299 
 486706.00    30.4783352625   114.5706233423     18.530     15.454      0.093   -0.237 
 486707.00    30.4783358494   114.5707856744     18.283     15.722      0.038   -0.275 
 486708.00    30.4783356828   114.5709494495     18.059     15.804     -0.037   -0.217 
 486709.00    30.4783349543   114.5711147333     17.894     15.982     -0.115   -0.102 
 486710.00    30.4783337562   114.5712820884     17.798     16.156     -0.154   -0.069 
 486711.00    30.4783323606   114.5714510027     17.724     16.301     -0.128   -0.065 
 486712.00    30.4783317107   114.5716214920     17.652     16.455     -0.037   -0.074 
 486713.00    30.4783317813   114.5717938557     17.593     16.637      0.014   -0.047 
 486714.00    30.4783319171   114.5719678135     17.523     16.771      0.035   -0.097 
 486715.00    30.4783322110   114.5721429657     17.445     16.895      0.048   -0.072 
 486716.00    30.4783327033   114.5723196611     17.333     16.967      0.019   -0.074 
 486717.00    30.4783318187   114.5724962339     17.242     17.020     -0.158   -0.110 
 486718.00    30.4783302290   114.5726746180     17.151     17.216     -0.157   -0.109 
 486719.00    30.4783289579   114.5728531607     17.084     17.031     -0.114   -0.096 
 486720.00    30.4783280485   114.5730297145     16.999     16.854     -0.071   -0.083 
 486721.00    30.4783279512   114.5732036077     16.903     16.542      0.070   -0.047 
 486722.00    30.4783283139   114.5733743045     16.839     16.271      0.065   -0.079 
 486723.00    30.4783292450   114.5735428556     16.758     16.107      0.137   -0.091 
 486724.00    30.4783304045   114.5737097676     16.686     15.970      0.049   -0.043 
 486725.00    30.4783300613   114.5738751178     16.636     15.829     -0.140   -0.026 
 486726.00    30.4783277027   114.5740394230     16.569     15.759     -0.298   -0.059 
 486727.00    30.4783246218   114.5742034329     16.470     15.748     -0.334   -0.114 
 486728.00    30.4783217063   114.5743675841     16.360     15.774     -0.300   -0.048 
 486729.00    30.4783192305   114.5745318732     16.351     15.754     -0.214   -0.038 
 486730.00    30.4783175613   114.5746963674     16.268     15.802     -0.148   -0.051 
 486731.00    30.4783168318   114.5748614160     16.187     15.858     -0.052   -0.057 
 486732.00    30.4783162518   114.5750271854     16.119     15.939     -0.078   -0.050 
 486733.00    30.4783151913   114.5751936285     16.079     16.024     -0.151   -0.003 
 486734.00    30.4783139180   114.5753608174     16.118     16.084     -0.127    0.041 
 486735.00    30.4783127416   114.5755287065     16.185     16.152     -0.111    0.090 
 486736.00    30.4783119104   114.5756971271     16.280     16.191     -0.066    0.139 
 486737.00    30.4783118697   114.5758664504     16.418     16.305      0.031    0.162 
 486738.00    30.4783124342   114.5760373059     16.510     16.522      0.046    0.090 
 486739.00    30.4783129138   114.5762107288     16.598     16.778      0.043    0.120 
 486740.00    30.4783134336   114.5763869558     16.709     17.058      0.061    0.070 
 486741.00    30.4783134372   114.5765659679     16.806     17.338     -0.077    0.100 
 486742.00    30.4783117722   114.5767477548     16.921     17.601     -0.245    0.102 
 486743.00    30.4783094177   114.5769324695     17.016     17.867     -0.266    0.126 
 486744.00    30.4783071684   114.5771196945     17.119     17.967     -0.252    0.153 
 486745.00    30.4783050358   114.5773064985     17.225     17.997     -0.232    0.101 
 486746.00    30.4783030731   114.5774945347     17.314     18.041     -0.205    0.144 
 486747.00    30.4783015607   114.5776825376     17.402     18.074     -0.124   -0.114 
 486748.00    30.4783001835   114.5778690212     17.514     17.867     -0.159    0.168 
 486749.00    30.4782991036   114.5780552929     17.614     17.914     -0.036   -0.067 
 486750.00    30.4782989710   114.5782418369     17.740     17.917      0.013    0.152 
 486751.00    30.4782992268   114.5784271990     17.870     17.602      0.024    0.144 
 486752.00    30.4782993043   114.5786081965     17.968     17.162     -0.015    0.078 
 486753.00    30.4782986573   114.5787845545     18.073     16.699     -0.109    0.133 
 486754.00    30.4782971364   114.5789563350     18.192     16.276     -0.172    0.110 
 486755.00    30.4782952965   114.5791238093     18.277     15.888     -0.153    0.075 
 486756.00    30.4782952478   114.5792880217     18.379     15.605      0.025    0.099 
 486757.00    30.4782948404   114.5794483480     18.479     15.181     -0.032    0.071 
 486758.00    30.4782951735   114.5796019528     18.555     14.359      0.033    0.145 
 486759.00    30.4782956606   114.5797460833     18.650     13.140      0.035    0.089 
 486760.00    30.4782953499   114.5798735331     18.718     11.269     -0.047    0.102 
 486761.00    30.4782954967   114.5799766325     18.766      8.330      0.039    0.062 
 486762.00    30.4782962598   114.5800448210     18.809      4.679      0.074    0.013 
 486763.00    30.4782967790   114.5800754696     18.827      1.778      0.034    0.020 
 486764.00    30.4782969513   114.5800851232     18.832      0.096     -0.005    0.020 
 486765.00    30.4782969476   114.5800849466     18.840      0.006      0.014   -0.025 
 486766.00    30.4782969483   114.5800849409     18.840     -0.002     -0.009    0.013 
 486767.00    30.4782969510   114.5800849393     18.840     -0.004     -0.003    0.004 
 486768.00    30.4782969538   114.5800849374     18.839      0.001      0.011   -0.029 
 486769.00    30.4782969589   114.5800849344     18.837      0.001     -0.004    0.016 
 486770.00    30.4782969633   114.5800849329     18.836      0.005     -0.012    0.030 
 486771.00    30.4782969658   114.5800849288     18.836      0.002     -0.011    0.028 
 486772.00    30.4782969630   114.5800849277     18.836     -0.002     -0.006    0.011 
 486773.00    30.4782969542   114.5800849307     18.837     -0.003      0.001   -0.006 
 486774.00    30.4782969517   114.5800849346     18.839     -0.001      0.002   -0.005 
 486775.00    30.4782969520   114.5800849394     18.840     -0.003     -0.003    0.000 
 486776.00    30.4782969485   114.5800849443     18.841     -0.001      0.002   -0.003 
 486777.00    30.4782969510   114.5800849467     18.842      0.003      0.000   -0.001 
 486778.00    30.4782969495   114.5800849502     18.842      0.002      0.001   -0.002 
 486779.00    30.4782969472   114.5800849602     18.843     -0.003     -0.006    0.011 
 486780.00    30.4782969456   114.5800849633     18.842     -0.001      0.007   -0.019 
 486781.00    30.4782969454   114.5800849628     18.841      0.001      0.017   -0.035 
 486782.00    30.4782969462   114.5800849612     18.841     -0.003      0.015   -0.036 
 486783.00    30.4782969459   114.5800849607     18.841     -0.002      0.015   -0.035 
 486784.00    30.4782969438   114.5800849589     18.841     -0.001      0.011   -0.026 
 486785.00    30.4782969398   114.5800849547     18.841     -0.002      0.006   -0.010 
 486786.00    30.4782969411   114.5800849466     18.841      0.001      0.006   -0.012 
 486787.00    30.4782969379   114.5800849439     18.841      0.005      0.009   -0.014 
 486788.00    30.4782969393   114.5800849471     18.841      0.006      0.013   -0.024 
 486789.00    30.4782969434   114.5800849517     18.841      0.002      0.015   -0.031 
 486790.00    30.4782969499   114.5800849559     18.841     -0.002      0.018   -0.036 
 486791.00    30.4782969544   114.5800849542     18.840     -0.000      0.017   -0.038 
 486792.00    30.4782969577   114.5800849486     18.839     -0.003      0.005   -0.014 
 486793.00    30.4782969649   114.5800849398     18.838     -0.002     -0.008    0.012 
 486794.00    30.4782969693   114.5800849372     18.836     -0.001     -0.012    0.022 
 486795.00    30.4782969676   114.5800849432     18.835      0.007     -0.007    0.015 
 486796.00    30.4782969610   114.5800849521     18.834      0.006      0.004   -0.004 
 486797.00    30.4782969559   114.5800849605     18.833      0.010     -0.013    0.027 
 486798.00    30.4782969536   114.5800849610     18.833      0.001      0.012   -0.021 
 486799.00    30.4782969568   114.5800849606     18.832      0.001     -0.007    0.019 
 486800.00    30.4782969584   114.5800849588     18.832      0.000      0.016   -0.033 
 486801.00    30.4782969597   114.5800849586     18.831     -0.004     -0.008    0.011 
 486802.00    30.4782969632   114.5800849550     18.831      0.001      0.019   -0.039 
 486803.00    30.4782969703   114.5800849503     18.831     -0.010     -0.008    0.011 
 486804.00    30.4782969763   114.5800849477     18.831      0.001      0.012   -0.021 
 486805.00    30.4782969747   114.5800849480     18.832     -0.004     -0.014    0.027 
 486806.00    30.4782969693   114.5800849512     18.832      0.007      0.007   -0.013 
 486807.00    30.4782969651   114.5800849522     18.833      0.002     -0.008    0.017 
 486808.00    30.4782969617   114.5800849548     18.833     -0.002     -0.013    0.029 
 486809.00    30.4782969577   114.5800849551     18.834      0.004      0.002   -0.002 
 486810.00    30.4782969540   114.5800849538     18.833     -0.001     -0.005    0.008 
 486811.00    30.4782969507   114.5800849523     18.833      0.003      0.013   -0.029 
 486812.00    30.4782969473   114.5800849547     18.831     -0.002     -0.007    0.009 
 486813.00    30.4782969483   114.5800849544     18.830      0.001      0.016   -0.028 
 486814.00    30.4782969522   114.5800849566     18.829      0.003     -0.007    0.013 
 486815.00    30.4782969608   114.5800849569     18.829      0.001      0.012   -0.022 
 486816.00    30.4782969642   114.5800849561     18.830      0.005     -0.015    0.035 
 486817.00    30.4782969640   114.5800849523     18.831      0.003      0.008   -0.016 
 486818.00    30.4782969569   114.5800849540     18.832     -0.001     -0.012    0.025 
 486819.00    30.4782969568   114.5800852306     18.833      0.123      0.008   -0.005 
 486820.00    30.4782971269   114.5800924238     18.842      1.478      0.042    0.012 
 486821.00    30.4782978922   114.5801173930     18.853      3.349      0.119    0.021 
 486822.00    30.4782992612   114.5801620022     18.860      5.187      0.167   -0.012 
 486823.00    30.4783007946   114.5802239725     18.876      6.691      0.179    0.057 
 486824.00    30.4783017456   114.5803001431     18.897      7.962      0.056   -0.008 
 486825.00    30.4783007775   114.5803885844     18.908      9.000     -0.175    0.009 
 486826.00    30.4782986589   114.5804870953     18.896      9.921     -0.213    0.027 
 486827.00    30.4782967159   114.5805955455     18.869     10.864     -0.214   -0.039 
 486828.00    30.4782949117   114.5807120377     18.828     11.258     -0.162   -0.012 
 486829.00    30.4782937979   114.5808284307     18.776     11.119     -0.102    0.033 
 486830.00    30.4782932705   114.5809448424     18.765     11.298     -0.003   -0.069 
 486831.00    30.4782927044   114.5810643907     18.704     11.644     -0.080   -0.041 
 486832.00    30.4782919340   114.5811878059     18.643     12.073     -0.083   -0.085 
 486833.00    30.4782910251   114.5813153753     18.600     12.437     -0.090   -0.056 
 486834.00    30.4782909725   114.5814470834     18.563     12.828      0.054   -0.008 
 486835.00    30.4782916970   114.5815825885     18.520     13.150      0.090   -0.056 
 486836.00    30.4782924028   114.5817207553     18.501     13.399      0.063   -0.008 
 486837.00    30.4782922940   114.5818618886     18.453     13.725     -0.090   -0.031 
 486838.00    30.4782908647   114.5820064903     18.399     14.012     -0.173   -0.092 
 486839.00    30.4782890191   114.5821519719     18.335     13.953     -0.214   -0.030 
 486840.00    30.4782877814   114.5822982900     18.279     14.157     -0.106   -0.010 
 486841.00    30.4782870018   114.5824472221     18.227     14.442     -0.105   -0.049 
 486842.00    30.4782859758   114.5825989490     18.168     14.695     -0.096   -0.084 
 486843.00    30.4782851919   114.5827523280     18.092     14.746     -0.055   -0.092 
 486844.00    30.4782847562   114.5829066771     18.053     14.872     -0.029   -0.057 
 486845.00    30.4782841136   114.5830606475     17.964     14.747     -0.082   -0.215 
 486846.00    30.4782828141   114.5832147870     17.722     14.908     -0.132   -0.244 
 486847.00    30.4782818139   114.5833715515     17.502     15.210     -0.126   -0.180 
 486848.00    30.4782804279   114.5835316320     17.294     15.548     -0.191   -0.209 
 486849.00    30.4782790274   114.5836953371     17.073     15.891     -0.084   -0.226 
 486850.00    30.4782787990   114.5838628131     16.847     16.254      0.011   -0.293 
 486851.00    30.4782790486   114.5840341409     16.608     16.656      0.054   -0.266 
 486852.00    30.4782793547   114.5842092885     16.382     16.975      0.008   -0.214 
 486853.00    30.4782791499   114.5843879143     16.123     17.323     -0.050   -0.266 
 486854.00    30.4782781950   114.5845697892     15.870     17.606     -0.147   -0.253 
 486855.00    30.4782763947   114.5847544170     15.593     17.873     -0.239   -0.317 
 486856.00    30.4782741052   114.5849417522     15.324     18.085     -0.257   -0.236 
 486857.00    30.4782722314   114.5851305303     15.093     18.078     -0.162   -0.238 
 486858.00    30.4782715439   114.5853174097     14.848     17.830     -0.016   -0.206 
 486859.00    30.4782713424   114.5855027720     14.607     17.820     -0.022   -0.370 
 486860.00    30.4782705554   114.5856884129     14.379     17.835     -0.090   -0.134 
 486861.00    30.4782698710   114.5858733701     14.295     17.662     -0.067   -0.053 
 486862.00    30.4782693478   114.5860563788     14.264     17.489     -0.051    0.029 
 486863.00    30.4782690660   114.5862379174     14.349     17.382     -0.028    0.133 
 486864.00    30.4782688748   114.5864178605     14.498     17.185     -0.032    0.163 
 486865.00    30.4782685646   114.5865961412     14.612     17.039     -0.016    0.117 
 486866.00    30.4782681432   114.5867729111     14.763     16.882     -0.064    0.159 
 486867.00    30.4782671208   114.5869477624     14.931     16.715     -0.178    0.229 
 486868.00    30.4782645723   114.5871208254     15.074     16.561     -0.331    0.130 
 486869.00    30.4782623814   114.5872928032     15.220     16.460     -0.162    0.168 
 486870.00    30.4782617819   114.5874634780     15.363     16.247      0.010    0.102 
 486871.00    30.4782619471   114.5876304527     15.523     15.866      0.030    0.148 
 486872.00    30.4782623527   114.5877934025     15.672     15.477      0.039    0.173 
 486873.00    30.4782622464   114.5879529308     15.820     15.170     -0.085    0.202 
 486874.00    30.4782607794   114.5881096624     15.942     14.936     -0.218    0.118 
 486875.00    30.4782590825   114.5882649927     16.083     14.891     -0.154    0.155 
 486876.00    30.4782582044   114.5884188162     16.231     14.573     -0.059    0.144 
 486877.00    30.4782580140   114.5885697654     16.385     14.488      0.004    0.153 
 486878.00    30.4782582630   114.5887207403     16.549     14.446      0.044    0.170 
 486879.00    30.4782587555   114.5888707531     16.663     14.379      0.032    0.100 
 486880.00    30.4782586368   114.5890199385     16.756     14.267     -0.079    0.134 
 486881.00    30.4782575827   114.5891676242     16.870     14.126     -0.184    0.125 
 486882.00    30.4782554609   114.5893137155     17.017     13.916     -0.282    0.190 
 486883.00    30.4782524984   114.5894569109     17.132     13.652     -0.343    0.070 
 486884.00    30.4782502106   114.5895980738     17.263     13.441     -0.161    0.107 
 486885.00    30.4782492952   114.5897362872     17.375     13.074     -0.077    0.099 
 486886.00    30.4782489671   114.5898701818     17.500     12.639     -0.001    0.115 
 486887.00    30.4782493052   114.5899994882     17.621     12.184      0.075    0.089 
 486888.00    30.4782499805   114.5901249457     17.728     12.035      0.066    0.148 
 486889.00    30.4782504681   114.5902515744     17.850     12.287      0.050    0.105 
 486890.00    30.4782505398   114.5903791819     17.971     12.166     -0.018    0.138 
 486891.00    30.4782501332   114.5905062625     18.096     12.330     -0.025    0.039 
 486892.00    30.4782493986   114.5906361621     18.205     12.594     -0.105    0.159 
 486893.00    30.4782484321   114.5907680456     18.319     12.746     -0.098    0.096 
 486894.00    30.4782475566   114.5908999727     18.426     12.493     -0.090    0.103 
 486895.00    30.4782468360   114.5910274079     18.538     11.805     -0.069    0.142 
 486896.00    30.4782462466   114.5911420990     18.660     10.153     -0.052    0.107 
 486897.00    30.4782459494   114.5912336630     18.751      7.111     -0.020    0.086 
 486898.00    30.4782458924   114.5912874008     18.808      3.108      0.000    0.037 
 486899.00    30.4782458937   114.5913018436     18.826     -0.171     -0.019    0.030 
 486900.00    30.4782458746   114.5913015115     18.841      0.000     -0.011    0.027 
 486901.00    30.4782458695   114.5913014950     18.842      0.001     -0.007    0.014 
 486902.00    30.4782458681   114.5913014982     18.841     -0.001     -0.012    0.025 
 486903.00    30.4782458698   114.5913015004     18.840     -0.001     -0.002    0.004 
 486904.00    30.4782458709   114.5913015062     18.839      0.001      0.013   -0.028 
 486905.00    30.4782458695   114.5913015092     18.839      0.002      0.007   -0.007 
 486906.00    30.4782458714   114.5913015052     18.838      0.004     -0.005    0.013 
 486907.00    30.4782458804   114.5913014973     18.836     -0.007     -0.005    0.009 
 486908.00    30.4782458775   114.5913014889     18.835      0.002      0.004   -0.005 
 486909.00    30.4782458799   114.5913014834     18.835     -0.001      0.004   -0.008 
