   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 483972.00    30.4885873056   114.5694095609     37.857     11.125     -1.765    0.044 
 483973.00    30.4885709169   114.5695263407     37.900     11.329     -1.860    0.032 
 483974.00    30.4885537885   114.5696465559     37.927     11.763     -1.934    0.011 
 483975.00    30.4885363823   114.5697711316     37.948     12.125     -1.886    0.029 
 483976.00    30.4885190900   114.5698991249     37.963     12.388     -1.901    0.022 
 483977.00    30.4885019481   114.5700294173     37.977     12.578     -1.870   -0.012 
 483978.00    30.4884844405   114.5701621391     37.967     12.904     -2.003    0.013 
 483979.00    30.4884660785   114.5702989520     37.946     13.394     -2.096   -0.048 
 483980.00    30.4884467071   114.5704400637     37.914     13.801     -2.156   -0.069 
 483981.00    30.4884260180   114.5705840415     37.880     13.767     -2.401   -0.008 
 483982.00    30.4884051676   114.5707261416     37.813     13.468     -2.263   -0.034 
 483983.00    30.4883845109   114.5708653946     37.737     13.319     -2.422   -0.058 
 483984.00    30.4883624878   114.5710053388     37.648     13.518     -2.459   -0.105 
 483985.00    30.4883408747   114.5711478756     37.557     13.829     -2.344   -0.081 
 483986.00    30.4883203672   114.5712921733     37.468     13.703     -2.230   -0.060 
 483987.00    30.4883002466   114.5714364886     37.344     13.947     -2.235   -0.123 
 483988.00    30.4882806021   114.5715827385     37.200     14.084     -2.130   -0.145 
 483989.00    30.4882617080   114.5717303971     37.058     14.269     -2.124   -0.149 
 483990.00    30.4882421068   114.5718796596     36.898     14.418     -2.245   -0.195 
 483991.00    30.4882212170   114.5720303816     36.707     14.533     -2.388   -0.192 
 483992.00    30.4881989908   114.5721823589     36.518     14.599     -2.499   -0.227 
 483993.00    30.4881763837   114.5723350103     36.303     14.708     -2.516   -0.222 
 483994.00    30.4881539179   114.5724880815     36.077     14.722     -2.399   -0.321 
 483995.00    30.4881318606   114.5726410478     35.825     14.746     -2.436   -0.252 
 483996.00    30.4881097522   114.5727959156     35.567     14.886     -2.486   -0.289 
 483997.00    30.4880874999   114.5729505927     35.303     14.871     -2.498   -0.309 
 483998.00    30.4880652420   114.5731050621     35.024     14.859     -2.471   -0.278 
 483999.00    30.4880435762   114.5732599874     34.737     14.867     -2.365   -0.262 
 484000.00    30.4880222832   114.5734152914     34.459     14.929     -2.379   -0.273 
 484001.00    30.4880004156   114.5735721088     34.168     15.198     -2.466   -0.277 
 484002.00    30.4879777445   114.5737322509     33.877     15.489     -2.531   -0.275 
