
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
455717.000    30.4853116623   114.5635393318     23.325    4.33703662    1.35513880  173.35279822 
455718.000    30.4853114529   114.5635393429     23.325    4.33905556    1.35880382  173.34940672 
455719.000    30.4853111319   114.5635393708     23.327    4.37152544    1.35158395  173.35351301 
455720.000    30.4853106508   114.5635394115     23.329    4.41241384    1.33748361  173.35535458 
455721.000    30.4853100692   114.5635394565     23.329    4.49567007    1.32327664  173.35892808 
455722.000    30.4853092785   114.5635394898     23.328    4.58825577    1.30985470  173.37010709 
455723.000    30.4853083276   114.5635395463     23.324    4.65922028    1.27359134  173.39074983 
455724.000    30.4853074817   114.5635396197     23.321    4.67340006    1.26105916  173.39194318 
455725.000    30.4853067553   114.5635396895     23.321    4.67875100    1.24667101  173.38928059 
455726.000    30.4853062460   114.5635397299     23.322    4.68591332    1.23871400  173.38081787 
455727.000    30.4853059918   114.5635397568     23.323    4.69761700    1.24011459  173.38523433 
455728.000    30.4853058968   114.5635397556     23.324    4.70376519    1.24406187  173.38508625 
455729.000    30.4853058486   114.5635397579     23.324    4.70341660    1.25170610  173.38269773 
455730.000    30.4853058260   114.5635397691     23.323    4.70287629    1.25025970  173.38447589 
455731.000    30.4853057996   114.5635397821     23.321    4.71027533    1.25183353  173.39109548 
455732.000    30.4853057711   114.5635397865     23.318    4.71427880    1.25365720  173.39652564 
455733.000    30.4853057349   114.5635397900     23.317    4.71397079    1.24857504  173.39949957 
455734.000    30.4853057010   114.5635397909     23.317    4.71775035    1.25381076  173.40583072 
455735.000    30.4853056762   114.5635397950     23.316    4.72070649    1.25142416  173.40398416 
455736.000    30.4853056549   114.5635398042     23.316    4.72677723    1.25039999  173.40500223 
455737.000    30.4853056390   114.5635398046     23.316    4.74934561    1.24152123  173.40302010 
455738.000    30.4853056086   114.5635397999     23.318    4.75683161    1.25394449  173.40433946 
455739.000    30.4853055911   114.5635397955     23.320    4.76490926    1.26146238  173.41164203 
455740.000    30.4853055663   114.5635398071     23.320    4.74525474    1.25975340  173.41158829 
455741.000    30.4853055467   114.5635398091     23.322    4.74039308    1.26224342  173.42377375 
455742.000    30.4853055295   114.5635398076     23.322    4.74448312    1.25993324  173.41947833 
455743.000    30.4853055122   114.5635398205     23.323    4.74324030    1.27488426  173.41551815 
455744.000    30.4853054895   114.5635398138     23.323    4.74464547    1.27313404  173.41531568 
