
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473311.000    30.4889478186   114.5661218969     32.646     -0.284      1.580    0.058 
473312.000    30.4889454980   114.5661357805     32.664     -0.214      1.117    0.014 
473313.000    30.4889439521   114.5661450407     32.675     -0.130      0.670    0.024 
473314.000    30.4889431998   114.5661497428     32.680     -0.057      0.248    0.033 
473315.000    30.4889430781   114.5661505598     32.681     -0.005      0.007    0.012 
473316.000    30.4889430805   114.5661505566     32.681     -0.022      0.008    0.053 
473317.000    30.4889430827   114.5661505593     32.679      0.020     -0.007   -0.046 
473318.000    30.4889430865   114.5661505612     32.677      0.008      0.004   -0.021 
473319.000    30.4889430850   114.5661505621     32.676     -0.018      0.009    0.035 
473320.000    30.4889430817   114.5661505633     32.677     -0.005     -0.010    0.011 
473321.000    30.4889429969   114.5661511110     32.678     -0.035      0.170    0.008 
473322.000    30.4889423316   114.5661553564     32.684     -0.129      0.650    0.032 
473323.000    30.4889408655   114.5661647249     32.695     -0.207      1.140    0.015 
473324.000    30.4889387371   114.5661784077     32.712     -0.284      1.476    0.071 
473325.000    30.4889363057   114.5661948440     32.730     -0.294      1.653    0.019 
473326.000    30.4889337366   114.5662127736     32.748     -0.320      1.769    0.062 
473327.000    30.4889311579   114.5662313135     32.768     -0.302      1.800    0.044 
473328.000    30.4889286557   114.5662513973     32.790     -0.317      2.126    0.052 
473329.000    30.4889259607   114.5662754215     32.822     -0.325      2.450    0.035 
473330.000    30.4889227892   114.5663028615     32.860     -0.404      2.843    0.078 
473331.000    30.4889188746   114.5663337385     32.895     -0.451      3.072    0.055 
473332.000    30.4889144249   114.5663667155     32.935     -0.533      3.311    0.044 
473333.000    30.4889092736   114.5664029424     32.979     -0.603      3.655    0.038 
473334.000    30.4889035652   114.5664426302     33.033     -0.667      3.978    0.054 
473335.000    30.4888973240   114.5664858044     33.094     -0.724      4.319    0.072 
473336.000    30.4888906261   114.5665325733     33.157     -0.768      4.662    0.067 
473337.000    30.4888835109   114.5665829794     33.213     -0.816      5.000    0.052 
473338.000    30.4888760108   114.5666364727     33.270     -0.857      5.233    0.065 
473339.000    30.4888681254   114.5666919029     33.337     -0.884      5.394    0.068 
473340.000    30.4888598208   114.5667492759     33.408     -0.955      5.674    0.083 
473341.000    30.4888509893   114.5668109326     33.481     -1.015      6.175    0.050 
473342.000    30.4888416406   114.5668778674     33.567     -1.049      6.670    0.094 
473343.000    30.4888326259   114.5669499929     33.659     -0.986      7.106    0.114 
473344.000    30.4888241510   114.5670264933     33.741     -0.917      7.492    0.075 
473345.000    30.4888163160   114.5671062727     33.855     -0.844      7.769    0.159 
473346.000    30.4888091549   114.5671886878     33.970     -0.774      8.023    0.108 
473347.000    30.4888026275   114.5672736115     34.081     -0.696      8.260    0.122 
473348.000    30.4887966217   114.5673608054     34.195     -0.712      8.456    0.106 
473349.000    30.4887894273   114.5674497234     34.319     -0.863      8.625    0.129 
473350.000    30.4887817789   114.5675404188     34.423     -0.818      8.789    0.117 
473351.000    30.4887761402   114.5676333711     34.540     -0.508      9.034    0.125 
473352.000    30.4887720770   114.5677293250     34.649     -0.517      9.402    0.161 
473353.000    30.4887668711   114.5678286485     34.792     -0.657      9.731    0.157 
473354.000    30.4887602807   114.5679311570     34.930     -0.828     10.010    0.193 
473355.000    30.4887519528   114.5680365816     35.075     -1.050     10.273    0.175 
473356.000    30.4887423937   114.5681444959     35.224     -0.983     10.463    0.141 
473357.000    30.4887340056   114.5682547187     35.373     -0.934     10.673    0.099 
473358.000    30.4887251129   114.5683669493     35.503     -1.011     10.895    0.072 
473359.000    30.4887142195   114.5684809659     35.635     -1.350     11.054    0.134 
473360.000    30.4887003910   114.5685965855     35.760     -1.654     11.194    0.117 
473361.000    30.4886848220   114.5687139821     35.854     -1.768     11.363    0.086 
473362.000    30.4886688427   114.5688333259     35.963     -1.776     11.560    0.135 
473363.000    30.4886527358   114.5689545800     36.052     -1.802     11.704    0.188 
473364.000    30.4886365162   114.5690776368     36.142     -1.815     11.893    0.126 
473365.000    30.4886201334   114.5692024049     36.208     -1.819     12.063    0.042 
473366.000    30.4886037777   114.5693288658     36.270     -1.834     12.188    0.087 
473367.000    30.4885873231   114.5694557405     36.327     -1.815     12.165    0.027 
473368.000    30.4885707132   114.5695828077     36.373     -1.846     12.202    0.048 
473369.000    30.4885539276   114.5697103750     36.402     -1.884     12.281    0.051 
473370.000    30.4885368105   114.5698390541     36.420     -1.919     12.452   -0.007 
473371.000    30.4885192678   114.5699695490     36.435     -1.989     12.633    0.053 
473372.000    30.4885012760   114.5701023699     36.434     -2.023     12.896   -0.005 
473373.000    30.4884826989   114.5702376488     36.416     -2.082     13.121   -0.032 
473374.000    30.4884637060   114.5703752359     36.399     -2.080     13.288   -0.076 
473375.000    30.4884445101   114.5705138809     36.368     -2.124     13.256   -0.015 
473376.000    30.4884253430   114.5706521448     36.316     -2.102     13.267   -0.038 
473377.000    30.4884063712   114.5707901811     36.250     -2.091     13.255   -0.055 
473378.000    30.4883871748   114.5709281756     36.175     -2.129     13.253   -0.076 
473379.000    30.4883673701   114.5710661788     36.089     -2.208     13.261    0.000 
473380.000    30.4883472953   114.5712043029     36.002     -2.243     13.272   -0.092 
473381.000    30.4883275085   114.5713424748     35.905     -2.161     13.269   -0.145 
473382.000    30.4883083342   114.5714808109     35.780     -2.092     13.291   -0.158 
473383.000    30.4882894928   114.5716197858     35.641     -2.096     13.392   -0.117 
473384.000    30.4882701944   114.5717604088     35.500     -2.157     13.616   -0.163 
473385.000    30.4882502812   114.5719031836     35.340     -2.256     13.810   -0.165 
473386.000    30.4882297564   114.5720473220     35.158     -2.310     13.832   -0.174 
473387.000    30.4882088537   114.5721906805     34.977     -2.318     13.724   -0.217 
473388.000    30.4881880000   114.5723328453     34.778     -2.296     13.593   -0.190 
473389.000    30.4881674795   114.5724738794     34.586     -2.247     13.489   -0.229 
473390.000    30.4881472786   114.5726139101     34.353     -2.228     13.403   -0.245 
473391.000    30.4881272519   114.5727530501     34.118     -2.208     13.373   -0.256 
473392.000    30.4881072255   114.5728912378     33.889     -2.213     13.237   -0.220 
473393.000    30.4880873066   114.5730286420     33.649     -2.214     13.174   -0.248 
473394.000    30.4880675184   114.5731653927     33.402     -2.184     13.091   -0.239 
473395.000    30.4880476719   114.5733025650     33.146     -2.218     13.285   -0.264 
473396.000    30.4880275022   114.5734422260     32.893     -2.257     13.521   -0.257 
473397.000    30.4880070873   114.5735845030     32.632     -2.259     13.777   -0.274 
473398.000    30.4879866195   114.5737293434     32.369     -2.273     14.031   -0.266 
473399.000    30.4879661282   114.5738766493     32.096     -2.280     14.242   -0.254 
473400.000    30.4879455684   114.5740263938     31.815     -2.282     14.485   -0.311 
473401.000    30.4879248195   114.5741784174     31.535     -2.324     14.663   -0.274 
473402.000    30.4879037105   114.5743308436     31.247     -2.347     14.552   -0.302 
473403.000    30.4878824695   114.5744814157     30.948     -2.351     14.358   -0.310 
473404.000    30.4878613601   114.5746298428     30.683     -2.310     14.119   -0.213 
473405.000    30.4878405623   114.5747759870     30.419     -2.263     13.919   -0.350 
473406.000    30.4878203703   114.5749198587     30.173     -2.199     13.700   -0.267 
473407.000    30.4878009433   114.5750616720     29.916     -2.125     13.535   -0.266 
473408.000    30.4877819962   114.5752013508     29.651     -2.100     13.301   -0.197 
473409.000    30.4877632493   114.5753388566     29.413     -2.066     13.084   -0.248 
473410.000    30.4877446585   114.5754741221     29.154     -2.052     12.886   -0.253 
473411.000    30.4877262592   114.5756071800     28.911     -2.026     12.671   -0.228 
473412.000    30.4877080748   114.5757379622     28.674     -2.014     12.443   -0.233 
473413.000    30.4876899452   114.5758666396     28.436     -2.027     12.297   -0.207 
473414.000    30.4876716304   114.5759945357     28.222     -2.028     12.276   -0.236 
473415.000    30.4876535132   114.5761224337     27.980     -1.995     12.294   -0.241 
473416.000    30.4876359329   114.5762505463     27.750     -1.923     12.295   -0.208 
473417.000    30.4876187115   114.5763788060     27.525     -1.927     12.319   -0.205 
473418.000    30.4876008747   114.5765073486     27.289     -2.040     12.371   -0.201 
473419.000    30.4875822872   114.5766360542     27.049     -2.077     12.294   -0.228 
473420.000    30.4875636381   114.5767630299     26.806     -2.059     12.087   -0.214 
473421.000    30.4875452629   114.5768878920     26.571     -2.006     11.883   -0.223 
473422.000    30.4875274200   114.5770104968     26.347     -1.956     11.654   -0.205 
473423.000    30.4875103225   114.5771308322     26.129     -1.843     11.436   -0.223 
473424.000    30.4874938009   114.5772488249     25.921     -1.834     11.224   -0.205 
473425.000    30.4874774907   114.5773642616     25.708     -1.789     10.966   -0.182 
473426.000    30.4874612886   114.5774771299     25.504     -1.769     10.696   -0.216 
473427.000    30.4874455545   114.5775875194     25.286     -1.730     10.458   -0.185 
473428.000    30.4874303744   114.5776953649     25.089     -1.656     10.242   -0.171 
473429.000    30.4874156615   114.5778005617     24.891     -1.598      9.982   -0.211 
473430.000    30.4874013154   114.5779031448     24.699     -1.579      9.745   -0.179 
473431.000    30.4873869422   114.5780048893     24.521     -1.592      9.806   -0.184 
473432.000    30.4873725142   114.5781070926     24.339     -1.579      9.740   -0.196 
473433.000    30.4873584250   114.5782073004     24.155     -1.535      9.498   -0.184 
473434.000    30.4873449133   114.5783050146     23.968     -1.473      9.248   -0.138 
473435.000    30.4873320857   114.5783999559     23.803     -1.406      8.975   -0.148 
473436.000    30.4873206332   114.5784920395     23.655     -1.066      8.655   -0.176 
473437.000    30.4873120189   114.5785811485     23.491     -1.001      8.403   -0.144 
473438.000    30.4873017456   114.5786665190     23.339     -1.226      8.047   -0.106 
473439.000    30.4872898541   114.5787480361     23.192     -1.364      7.640   -0.049 
473440.000    30.4872783458   114.5788259190     23.065     -1.208      7.272   -0.043 
473441.000    30.4872681724   114.5789011212     22.899     -1.114      7.219   -0.192 
473442.000    30.4872585227   114.5789767018     22.764     -1.046      7.260   -0.118 
473443.000    30.4872494512   114.5790518326     22.660     -0.948      7.059   -0.134 
473444.000    30.4872411416   114.5791235788     22.554     -0.891      6.686   -0.089 
473445.000    30.4872333578   114.5791909988     22.471     -0.839      6.252   -0.071 
473446.000    30.4872259824   114.5792534298     22.399     -0.800      5.748   -0.067 
473447.000    30.4872183025   114.5793099191     22.339     -0.867      5.134   -0.059 
473448.000    30.4872093435   114.5793618137     22.270     -1.061      4.959   -0.089 
473449.000    30.4871983845   114.5794125435     22.188     -1.275      4.857   -0.086 
473450.000    30.4871863834   114.5794597222     22.105     -1.273      4.248   -0.071 
473451.000    30.4871757523   114.5795008227     22.039     -1.088      3.655   -0.056 
473452.000    30.4871671159   114.5795352599     21.986     -0.854      2.952   -0.013 
473453.000    30.4871605090   114.5795640665     21.950     -0.662      2.560   -0.020 
473454.000    30.4871556704   114.5795895054     21.923     -0.490      2.314   -0.046 
473455.000    30.4871519616   114.5796133488     21.893     -0.419      2.205   -0.025 
473456.000    30.4871486679   114.5796350101     21.870     -0.343      1.971   -0.035 
473457.000    30.4871457273   114.5796552330     21.844     -0.313      1.895   -0.039 
473458.000    30.4871428924   114.5796745416     21.822     -0.329      1.785    0.017 
473459.000    30.4871402555   114.5796923128     21.801     -0.310      1.626    0.029 
473460.000    30.4871380014   114.5797075005     21.784     -0.235      1.301   -0.000 
473461.000    30.4871361664   114.5797197727     21.768     -0.188      1.123   -0.035 
473462.000    30.4871344378   114.5797315483     21.753     -0.177      1.150   -0.058 
473463.000    30.4871324936   114.5797446682     21.741     -0.222      1.383   -0.050 
473464.000    30.4871301555   114.5797605079     21.725     -0.282      1.643   -0.019 
473465.000    30.4871273501   114.5797795074     21.707     -0.356      2.119   -0.035 
473466.000    30.4871236466   114.5798046506     21.685     -0.465      2.727   -0.016 
473467.000    30.4871190122   114.5798362186     21.648     -0.578      3.410   -0.020 
473468.000    30.4871132361   114.5798759067     21.609     -0.706      4.214   -0.031 
473469.000    30.4871064101   114.5799234079     21.561     -0.809      4.888   -0.050 
473470.000    30.4870988650   114.5799762597     21.507     -0.869      5.266   -0.056 
473471.000    30.4870905904   114.5800344027     21.447     -0.967      5.905   -0.058 
473472.000    30.4870815832   114.5800984706     21.399     -1.017      6.308   -0.050 
473473.000    30.4870723939   114.5801654139     21.347     -1.033      6.570   -0.061 
473474.000    30.4870629393   114.5802366596     21.291     -1.097      7.111   -0.043 
473475.000    30.4870523657   114.5803136791     21.248     -1.223      7.625   -0.036 
473476.000    30.4870407891   114.5803951164     21.254     -1.319      8.047    0.005 
473477.000    30.4870282235   114.5804816758     21.244     -1.462      8.593   -0.043 
473478.000    30.4870147681   114.5805729534     21.209     -1.509      8.894   -0.045 
473479.000    30.4870010428   114.5806670402     21.157     -1.525      9.178   -0.057 
473480.000    30.4869871241   114.5807638523     21.111     -1.557      9.413   -0.080 
473481.000    30.4869728242   114.5808632158     21.087     -1.620      9.675    0.010 
473482.000    30.4869581230   114.5809652796     21.114     -1.645      9.926    0.019 
473483.000    30.4869430678   114.5810699186     21.112     -1.693     10.166   -0.037 
473484.000    30.4869275733   114.5811771997     21.120     -1.740     10.418    0.007 
473485.000    30.4869117001   114.5812867952     21.131     -1.779     10.624    0.046 
473486.000    30.4868957015   114.5813982025     21.180     -1.780     10.771    0.087 
473487.000    30.4868797161   114.5815108538     21.260     -1.762     10.886    0.021 
473488.000    30.4868635120   114.5816253215     21.306     -1.808     11.092    0.139 
473489.000    30.4868471909   114.5817419516     21.371     -1.851     11.305    0.149 
473490.000    30.4868304366   114.5818608400     21.456     -1.895     11.542    0.078 
473491.000    30.4868131723   114.5819817361     21.551     -1.950     11.708    0.104 
473492.000    30.4867954749   114.5821045628     21.624     -1.988     11.865    0.148 
473493.000    30.4867779878   114.5822294668     21.689     -1.931     12.099    0.053 
473494.000    30.4867608542   114.5823563148     21.796     -1.906     12.261    0.134 
473495.000    30.4867442416   114.5824850647     21.866     -1.817     12.497   -0.019 
473496.000    30.4867281051   114.5826159051     21.919     -1.760     12.649    0.105 
473497.000    30.4867123824   114.5827485573     22.022     -1.736     12.786    0.165 
473498.000    30.4866968735   114.5828825367     22.141     -1.730     12.929    0.101 
473499.000    30.4866814979   114.5830181473     22.192     -1.703     13.100    0.113 
473500.000    30.4866664853   114.5831554829     22.293     -1.667     13.253    0.163 
473501.000    30.4866516439   114.5832942781     22.405     -1.640     13.390   -0.004 
473502.000    30.4866369611   114.5834345602     22.503     -1.615     13.506    0.128 
473503.000    30.4866228070   114.5835761078     22.625     -1.543     13.646    0.101 
473504.000    30.4866090142   114.5837186822     22.726     -1.508     13.727    0.067 
473505.000    30.4865955358   114.5838616292     22.819     -1.470     13.708    0.071 
473506.000    30.4865824279   114.5840041915     22.899     -1.431     13.649    0.123 
473507.000    30.4865698134   114.5841463708     22.993     -1.373     13.652    0.060 
473508.000    30.4865584235   114.5842884248     23.087     -1.165     13.657    0.041 
473509.000    30.4865486120   114.5844304879     23.203     -1.031     13.630    0.150 
473510.000    30.4865397988   114.5845727601     23.286     -0.977     13.605    0.068 
473511.000    30.4865315414   114.5847149900     23.379     -0.896     13.636    0.072 
473512.000    30.4865237847   114.5848570914     23.483     -0.837     13.664    0.031 
473513.000    30.4865165896   114.5849994132     23.570     -0.806     13.647    0.130 
473514.000    30.4865095699   114.5851417821     23.667     -0.747     13.657    0.067 
473515.000    30.4865025800   114.5852841569     23.785     -0.746     13.670    0.108 
473516.000    30.4864959558   114.5854264088     23.903     -0.718     13.649    0.054 
473517.000    30.4864897246   114.5855686649     23.998     -0.671     13.631    0.066 
473518.000    30.4864839884   114.5857112143     24.086     -0.620     13.685    0.105 
473519.000    30.4864791019   114.5858542607     24.183     -0.506     13.761    0.138 
473520.000    30.4864748754   114.5859990988     24.274     -0.443     14.059    0.094 
473521.000    30.4864712839   114.5861459140     24.370     -0.349     14.062    0.082 
473522.000    30.4864684073   114.5862907722     24.459     -0.274     13.757    0.054 
473523.000    30.4864659894   114.5864328211     24.552     -0.207     13.503    0.070 
473524.000    30.4864643097   114.5865722868     24.655     -0.184     13.261    0.155 
473525.000    30.4864631256   114.5867091482     24.746     -0.126     12.976    0.102 
473526.000    30.4864621599   114.5868421530     24.834     -0.084     12.570    0.074 
473527.000    30.4864617172   114.5869721890     24.908     -0.034     12.410    0.069 
473528.000    30.4864618626   114.5871016537     24.983      0.017     12.409    0.141 
473529.000    30.4864625658   114.5872309569     25.076      0.087     12.411    0.120 
473530.000    30.4864637232   114.5873603027     25.155      0.140     12.407    0.074 
473531.000    30.4864650778   114.5874898080     25.249      0.186     12.462    0.099 
473532.000    30.4864663789   114.5876195993     25.335      0.129     12.513    0.122 
473533.000    30.4864678724   114.5877508730     25.419      0.199     12.700    0.115 
473534.000    30.4864705460   114.5878844518     25.511      0.351     12.917    0.036 
473535.000    30.4864738694   114.5880202014     25.615      0.371     13.133    0.104 
473536.000    30.4864776244   114.5881574145     25.724      0.462     13.186    0.059 
473537.000    30.4864820030   114.5882947836     25.812      0.539     13.187    0.088 
473538.000    30.4864869350   114.5884332274     25.901      0.571     13.361    0.081 
473539.000    30.4864927841   114.5885727958     25.995      0.692     13.378    0.109 
473540.000    30.4864993389   114.5887124794     26.080      0.715     13.459    0.072 
473541.000    30.4865061195   114.5888530912     26.164      0.769     13.543    0.081 
473542.000    30.4865137080   114.5889952959     26.226      0.870     13.722    0.093 
473543.000    30.4865223041   114.5891392880     26.281      1.013     13.892    0.015 
473544.000    30.4865317772   114.5892845624     26.324      1.093     13.897    0.001 
473545.000    30.4865414939   114.5894279361     26.351      1.074     13.553    0.043 
473546.000    30.4865512114   114.5895673345     26.361      1.106     13.169    0.019 
473547.000    30.4865615084   114.5897025761     26.353      1.169     12.792   -0.046 
473548.000    30.4865726454   114.5898336173     26.345      1.281     12.374   -0.085 
473549.000    30.4865841942   114.5899605795     26.309      1.267     11.998   -0.039 
473550.000    30.4865953018   114.5900837954     26.253      1.179     11.608    0.032 
473551.000    30.4866072393   114.5902029919     26.202      1.386     11.224   -0.069 
473552.000    30.4866206990   114.5903181273     26.150      1.543     10.854   -0.064 
473553.000    30.4866347817   114.5904296381     26.094      1.536     10.611   -0.055 
473554.000    30.4866487384   114.5905394178     26.021      1.533     10.497   -0.056 
473555.000    30.4866621734   114.5906484779     25.949      1.452     10.488   -0.092 
473556.000    30.4866747785   114.5907574640     25.849      1.357     10.480   -0.109 
473557.000    30.4866866210   114.5908666111     25.745      1.295     10.504   -0.088 
473558.000    30.4866983524   114.5909757269     25.625      1.323     10.401   -0.134 
473559.000    30.4867100700   114.5910828485     25.501      1.295     10.136   -0.159 
473560.000    30.4867211380   114.5911867961     25.371      1.157      9.816   -0.138 
473561.000    30.4867302088   114.5912854021     25.226      0.854      9.104   -0.149 
473562.000    30.4867360903   114.5913748237     25.082      0.573      8.275   -0.153 
473563.000    30.4867420354   114.5914594774     24.952      0.832      8.035   -0.167 
473564.000    30.4867521933   114.5915460916     24.814      1.302      8.550   -0.060 
473565.000    30.4867654845   114.5916380639     24.685      1.543      9.124   -0.143 
473566.000    30.4867800035   114.5917367046     24.513      1.650      9.844   -0.230 
473567.000    30.4867949934   114.5918424081     24.356      1.693     10.458   -0.111 
473568.000    30.4868107874   114.5919545957     24.193      1.786     11.052   -0.126 
473569.000    30.4868272938   114.5920729830     24.005      1.868     11.642   -0.228 
473570.000    30.4868448966   114.5921970973     23.798      1.956     12.165   -0.136 
473571.000    30.4868640447   114.5923264009     23.612      2.194     12.577   -0.163 
