
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473338.000    30.4888765450   114.5666365720     33.271     -0.857      5.233    0.064 
473339.000    30.4888686595   114.5666920039     33.338     -0.884      5.394    0.066 
473340.000    30.4888603547   114.5667493780     33.408     -0.954      5.674    0.083 
473341.000    30.4888515234   114.5668110333     33.481     -1.016      6.175    0.051 
473342.000    30.4888421752   114.5668779643     33.568     -1.050      6.670    0.093 
473343.000    30.4888331619   114.5669500789     33.660     -0.987      7.106    0.111 
473344.000    30.4888246881   114.5670265696     33.742     -0.918      7.492    0.073 
473345.000    30.4888168539   114.5671063413     33.855     -0.845      7.769    0.158 
473346.000    30.4888096936   114.5671887483     33.969     -0.775      8.023    0.109 
473347.000    30.4888031668   114.5672736645     34.081     -0.696      8.260    0.122 
473348.000    30.4887971609   114.5673608572     34.194     -0.712      8.456    0.104 
473349.000    30.4887899660   114.5674497828     34.318     -0.863      8.625    0.130 
473350.000    30.4887823177   114.5675404768     34.423     -0.819      8.789    0.117 
473351.000    30.4887766806   114.5676334069     34.540     -0.510      9.034    0.124 
473352.000    30.4887726176   114.5677293561     34.650     -0.515      9.402    0.164 
473353.000    30.4887674112   114.5678286876     34.793     -0.656      9.731    0.162 
473354.000    30.4887608203   114.5679312057     34.931     -0.828     10.010    0.195 
473355.000    30.4887524915   114.5680366415     35.075     -1.048     10.273    0.177 
473356.000    30.4887429324   114.5681445539     35.226     -0.984     10.463    0.141 
473357.000    30.4887345447   114.5682547732     35.373     -0.934     10.673    0.096 
473358.000    30.4887256518   114.5683670072     35.503     -1.010     10.895    0.074 
473359.000    30.4887147570   114.5684810392     35.635     -1.348     11.054    0.135 
473360.000    30.4887009266   114.5685966748     35.761     -1.654     11.194    0.117 
473361.000    30.4886853568   114.5687140768     35.855     -1.768     11.363    0.087 
473362.000    30.4886693777   114.5688334197     35.965     -1.776     11.560    0.137 
473363.000    30.4886532708   114.5689546728     36.053     -1.802     11.704    0.187 
473364.000    30.4886370511   114.5690777306     36.144     -1.815     11.893    0.127 
473365.000    30.4886206687   114.5692024969     36.209     -1.820     12.063    0.043 
473366.000    30.4886043131   114.5693289568     36.271     -1.833     12.188    0.089 
473367.000    30.4885878584   114.5694558321     36.329     -1.816     12.165    0.023 
473368.000    30.4885712484   114.5695829001     36.374     -1.846     12.202    0.047 
473369.000    30.4885544626   114.5697104684     36.403     -1.885     12.281    0.050 
473370.000    30.4885373454   114.5698391483     36.421     -1.919     12.452   -0.005 
473371.000    30.4885198025   114.5699696441     36.436     -1.989     12.633    0.054 
473372.000    30.4885018106   114.5701024661     36.435     -2.022     12.896   -0.003 
473373.000    30.4884832333   114.5702377460     36.418     -2.082     13.121   -0.030 
473374.000    30.4884642405   114.5703753329     36.401     -2.081     13.288   -0.077 
473375.000    30.4884450444   114.5705139792     36.370     -2.125     13.256   -0.019 
473376.000    30.4884258774   114.5706522421     36.318     -2.101     13.267   -0.038 
473377.000    30.4884069057   114.5707902786     36.251     -2.091     13.255   -0.055 
473378.000    30.4883877089   114.5709282750     36.176     -2.128     13.253   -0.078 
473379.000    30.4883679039   114.5710662809     36.091     -2.207     13.261   -0.001 
473380.000    30.4883478290   114.5712044053     36.003     -2.244     13.272   -0.089 
473381.000    30.4883280426   114.5713425750     35.907     -2.162     13.269   -0.143 
473382.000    30.4883088688   114.5714809076     35.781     -2.093     13.291   -0.157 
473383.000    30.4882900275   114.5716198819     35.642     -2.096     13.392   -0.119 
473384.000    30.4882707289   114.5717605063     35.501     -2.157     13.616   -0.163 
473385.000    30.4882508154   114.5719032829     35.341     -2.256     13.810   -0.164 
473386.000    30.4882302903   114.5720474237     35.159     -2.310     13.832   -0.172 
473387.000    30.4882093874   114.5721907843     34.978     -2.318     13.724   -0.215 
473388.000    30.4881885336   114.5723329487     34.779     -2.297     13.593   -0.189 
473389.000    30.4881680132   114.5724739819     34.587     -2.247     13.489   -0.229 
473390.000    30.4881478125   114.5726140120     34.354     -2.228     13.403   -0.244 
473391.000    30.4881277857   114.5727531530     34.119     -2.208     13.373   -0.248 
473392.000    30.4881077593   114.5728913403     33.890     -2.213     13.237   -0.219 
473393.000    30.4880878404   114.5730287444     33.650     -2.213     13.174   -0.245 
473394.000    30.4880680523   114.5731654951     33.403     -2.184     13.091   -0.241 
473395.000    30.4880482057   114.5733026671     33.147     -2.218     13.285   -0.264 
