
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
453616.000    30.4631418354   114.5605276139     23.574    3.87403635    1.49816984  284.41845658 
453617.000    30.4632012955   114.5602798265     23.505    3.90934403    1.38917463  284.61298091 
453618.000    30.4632610601   114.5600342002     23.419    4.04059905    1.35893180  284.62980576 
453619.000    30.4633203333   114.5597903617     23.325    3.95275081    1.31635938  284.63563880 
453620.000    30.4633790184   114.5595500167     23.247    4.05959155    1.43976207  284.69397132 
453621.000    30.4634375702   114.5593104337     23.209    3.99068012    1.57362531  284.62437887 
453622.000    30.4634959200   114.5590697947     23.252    4.05531305    1.51031958  284.41420972 
453623.000    30.4635529547   114.5588294051     23.416    3.91267017    1.45902447  284.25910495 
453624.000    30.4636079770   114.5585904967     23.695    3.83114116    1.52609671  284.11808329 
453625.000    30.4636617482   114.5583531648     23.997    3.72769219    1.41945826  284.08426781 
453626.000    30.4637154573   114.5581169735     24.233    3.87565688    1.53280343  284.05605384 
453627.000    30.4637700948   114.5578803544     24.352    3.88180406    1.55580658  284.08851174 
453628.000    30.4638261478   114.5576416279     24.367    3.90092506    1.48175437  284.07926373 
453629.000    30.4638833888   114.5574001937     24.306    3.97557935    1.45826016  284.07500955 
453630.000    30.4639414214   114.5571577563     24.193    3.96700686    1.23805986  284.14901271 
453631.000    30.4639994951   114.5569189744     24.013    3.92105447    1.08356907  284.17925275 
453632.000    30.4640578352   114.5566835956     23.706    3.78697732    1.32811267  284.36324277 
453633.000    30.4641179282   114.5564483867     23.239    3.63884806    1.34110592  284.72510879 
453634.000    30.4641801046   114.5562121695     22.752    3.64710765    1.53130037  285.20708236 
453635.000    30.4642427261   114.5559745129     22.368    3.93603967    1.47524817  285.29191184 
453636.000    30.4643040788   114.5557392801     22.103    3.72440750    1.14055174  285.35064415 
453637.000    30.4643646492   114.5555073244     21.949    3.53924007    1.56088852  285.54696449 
453638.000    30.4644259433   114.5552754384     21.896    4.02857120    1.47959898  285.52092822 
453639.000    30.4644875164   114.5550410472     21.877    3.89778513    1.58496156  285.39739063 
453640.000    30.4645497318   114.5548034450     21.835    4.29428139    1.48440836  285.38224636 
453641.000    30.4646138340   114.5545626169     21.730    4.00075491    1.71097393  285.81132611 
453642.000    30.4646799856   114.5543196814     21.691    4.08009756    1.36330923  286.07965936 
453643.000    30.4647467415   114.5540775622     21.622    4.12651789    1.47798743  286.14817094 
453644.000    30.4648132360   114.5538356832     21.541    3.98806234    1.43082526  286.02816588 
453645.000    30.4648784659   114.5535967967     21.460    4.17916655    1.38222381  285.86614130 
453646.000    30.4649430527   114.5533616289     21.397    3.98879873    1.70283062  286.17311602 
453647.000    30.4650082594   114.5531300074     21.337    4.00365694    1.29868724  286.46275543 
453648.000    30.4650733319   114.5529026158     21.235    3.87221544    1.30066671  286.85771551 
453649.000    30.4651390107   114.5526784253     21.167    3.81310117    1.49525737  287.23468344 
453650.000    30.4652038925   114.5524565694     21.096    4.13499308    1.34172044  286.65267365 
453651.000    30.4652665350   114.5522380572     21.021    3.94874286    1.32243309  286.65391485 
453652.000    30.4653283076   114.5520234449     20.946    3.97293367    1.41158244  286.72689292 
453653.000    30.4653895121   114.5518127807     20.885    3.94942147    1.36890406  286.95470574 
453654.000    30.4654507186   114.5516064087     20.826    4.05332892    1.46714912  287.30180180 
453655.000    30.4655120485   114.5514038710     20.748    4.03077986    1.54488375  287.66196872 
453656.000    30.4655734508   114.5512024193     20.696    4.21877387    1.46229320  287.55874460 
453657.000    30.4656345430   114.5510001936     20.625    4.44512016    1.57236759  287.27013914 
453658.000    30.4656956215   114.5507964629     20.568    4.39061100    1.54894115  287.26646080 
453659.000    30.4657581376   114.5505899304     20.504    4.36846870    1.54273794  287.51570077 
453660.000    30.4658226410   114.5503798371     20.441    4.33404904    1.64444438  287.72436219 
453661.000    30.4658886009   114.5501657171     20.380    4.13103754    1.59211171  287.64411821 
453662.000    30.4659555318   114.5499475142     20.356    4.12924823    1.65424481  287.56562077 
453663.000    30.4660244777   114.5497256076     20.262    4.05871135    1.59279886  287.88066140 
453664.000    30.4660949327   114.5495002488     20.201    4.28393024    1.56179742  287.95562055 
453665.000    30.4661668369   114.5492759548     20.131    4.23690008    1.37449343  288.68010853 
453666.000    30.4662398889   114.5490545740     20.051    4.13045348    1.61394793  288.89852066 
453667.000    30.4663133454   114.5488325603     20.016    4.52777515    1.69626831  288.74700451 
453668.000    30.4663867546   114.5486073138     19.913    4.05940671    1.57919537  288.53404873 
453669.000    30.4664611340   114.5483782569     19.835    4.33215715    1.73398696  288.52989528 
453670.000    30.4665376852   114.5481457354     19.764    4.46117615    1.58311953  288.98436350 
453671.000    30.4666166761   114.5479098603     19.641    4.40774028    1.47804657  289.08172229 
453672.000    30.4666969334   114.5476705630     19.495    4.05493856    1.25438069  289.09676005 
453673.000    30.4667779861   114.5474295720     19.300    4.23543617    1.21560027  289.14468456 
453674.000    30.4668603070   114.5471866148     19.069    4.11409371    1.22507352  289.34526717 
453675.000    30.4669437024   114.5469430475     18.833    4.25381554    1.14996850  289.53201274 
453676.000    30.4670280003   114.5466986235     18.567    4.21160950    0.93648763  289.58695092 
453677.000    30.4671131485   114.5464526963     18.273    4.32276996    0.91395184  289.63629188 
453678.000    30.4671986765   114.5462068071     18.002    4.24889932    1.01779169  289.84882292 
453679.000    30.4672856643   114.5459609690     17.700    4.20336305    1.01072833  290.17291213 
453680.000    30.4673742363   114.5457138797     17.399    4.28745681    1.06787011  290.33940614 
453681.000    30.4674634866   114.5454657166     17.046    4.25159620    0.97940541  290.32256619 
453682.000    30.4675529798   114.5452169892     16.712    4.38017380    0.94229893  290.32470438 
453683.000    30.4676427215   114.5449677837     16.364    4.45188324    0.87979392  290.30749951 
453684.000    30.4677323228   114.5447190577     16.034    4.33794713    1.11056465  290.29013158 
453685.000    30.4678222361   114.5444686562     15.750    4.11384458    1.27782915  290.08194896 
453686.000    30.4679122428   114.5442155144     15.327    4.16248000    1.36806602  289.95793369 
453687.000    30.4680030309   114.5439594618     15.007    4.48869857    0.97841157  289.89261469 
453688.000    30.4680941460   114.5437021499     14.736    4.27533954    1.21460522  289.92263238 
453689.000    30.4681858979   114.5434435887     14.530    4.37368637    1.26921189  289.93009015 
453690.000    30.4682783012   114.5431837900     14.259    4.34593339    1.11308463  290.02916332 
453691.000    30.4683714747   114.5429229703     13.953    4.20103367    0.87011780  290.03022733 
453692.000    30.4684641916   114.5426633024     13.636    4.13909262    0.98458866  290.00921027 
453693.000    30.4685565432   114.5424047637     13.321    4.26631914    0.92948123  289.99755170 
453694.000    30.4686489654   114.5421468371     12.979    4.40637923    0.85896132  290.06637994 
453695.000    30.4687416922   114.5418883414     12.628    4.37685987    0.96221386  290.04751277 
453696.000    30.4688348803   114.5416281930     12.325    4.35720583    1.01902069  289.93568406 
453697.000    30.4689282584   114.5413655854     12.052    4.36841435    1.18656301  289.77848732 
453698.000    30.4690222116   114.5411003170     11.794    4.34469047    1.33831498  289.72309489 
453699.000    30.4691170632   114.5408324328     11.581    4.27864971    1.30572021  289.71794481 
453700.000    30.4692129232   114.5405619424     11.372    4.27023839    1.28630739  289.68193962 
453701.000    30.4693098566   114.5402888773     11.142    4.23946356    1.36061902  289.82608658 
453702.000    30.4694082072   114.5400143153     10.926    4.29763373    1.25650905  289.94202180 
453703.000    30.4695065864   114.5397401853     10.740    4.45882416    1.32833073  289.84996366 
