   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 452109.00    30.4568804113   114.6599694097     12.000      0.169     -2.375    0.104 
 452110.00    30.4568610341   114.6599781433     12.122      1.499     -2.118    0.162 
 452111.00    30.4568475658   114.6599995258     12.250      2.532     -1.059    0.148 
 452112.00    30.4568467046   114.6600308993     12.323      3.418      0.803    0.060 
 452113.00    30.4568645579   114.6600664701     12.338      3.477      2.842   -0.015 
 452114.00    30.4568963588   114.6601033209     12.291      3.651      4.145   -0.070 
 452115.00    30.4569369406   114.6601419613     12.197      3.749      4.540   -0.103 
 452116.00    30.4569756936   114.6601810925     12.119      3.821      4.081   -0.066 
 452117.00    30.4570095695   114.6602213981     12.089      3.779      3.443   -0.009 
 452118.00    30.4570365052   114.6602567881     12.096      2.823      2.522   -0.023 
 452119.00    30.4570551495   114.6602801451     12.080      1.878      1.769   -0.032 
 452120.00    30.4570712471   114.6602962376     12.082      1.271      1.631   -0.011 
 452121.00    30.4570833568   114.6603065544     12.062      0.699      0.976   -0.038 
 452122.00    30.4570883132   114.6603106438     12.047      0.100      0.131   -0.002 
 452123.00    30.4570883487   114.6603106669     12.049      0.001      0.001   -0.000 
 452124.00    30.4570883396   114.6603106665     12.049     -0.000     -0.001    0.001 
 452125.00    30.4570883403   114.6603106696     12.048     -0.001      0.001   -0.004 
 452126.00    30.4570883338   114.6603106797     12.046      0.001     -0.002   -0.002 
 452127.00    30.4570883311   114.6603106716     12.046     -0.001      0.001    0.000 
 452128.00    30.4570883376   114.6603106696     12.046     -0.002     -0.000    0.001 
 452129.00    30.4570883375   114.6603106716     12.045      0.003      0.000   -0.001 
 452130.00    30.4570883404   114.6603106792     12.044     -0.002      0.000   -0.003 
 452131.00    30.4570883475   114.6603106672     12.044     -0.001      0.000    0.002 
 452132.00    30.4570883499   114.6603106679     12.043     -0.000     -0.002   -0.002 
 452133.00    30.4570883410   114.6603106724     12.042      0.004     -0.001   -0.004 
 452134.00    30.4570883480   114.6603106941     12.042      0.005      0.005   -0.005 
 452135.00    30.4570883493   114.6603106816     12.041      0.001      0.001   -0.006 
 452136.00    30.4570883506   114.6603106735     12.041      0.001      0.002   -0.002 
 452137.00    30.4570883488   114.6603106861     12.042      0.003     -0.001    0.002 
 452138.00    30.4570883399   114.6603106962     12.042     -0.001      0.001    0.001 
 452139.00    30.4570883511   114.6603106885     12.044     -0.003     -0.000   -0.001 
 452140.00    30.4570883528   114.6603106884     12.045     -0.002     -0.004    0.002 
 452141.00    30.4570883481   114.6603106781     12.045     -0.001      0.001    0.001 
 452142.00    30.4570883544   114.6603106721     12.043      0.001      0.003   -0.002 
 452143.00    30.4570883581   114.6603106778     12.042     -0.000      0.002   -0.001 
 452144.00    30.4570883554   114.6603106800     12.041      0.000     -0.003   -0.001 
