+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(基站) = " E:/NavData/IntegratedNavData/20200703wnlbs/GSL1-2020_07_03.20o "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.20O "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS "

+ (3)  重要处理参数
-      处理模式 = " 动态差分后处理(PPK) "
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "
-      卫星定位系统 = "  +GPS +北斗 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 11:22:51 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      ECEF X       = ECEF X                         
-      ECEF Y       = ECEF Y                         
-      ECEF Z       = ECEF Z                         
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell         ECEF X         ECEF Y         ECEF Z  
     (sec)            (Deg)            (Deg)        (m)            (m)            (m)            (m)  
452046.000    30.4648859222   114.6598168999      8.477   -2295729.997    5000509.806    3214904.116 
452047.000    30.4647618192   114.6598391700      8.446   -2295734.840    5000515.229    3214892.242 
452048.000    30.4646359574   114.6598614532      8.483   -2295739.750    5000520.795    3214880.233 
452049.000    30.4645081799   114.6598826862      8.498   -2295744.605    5000526.482    3214868.031 
452050.000    30.4643789600   114.6599028515      8.507   -2295749.399    5000532.282    3214855.688 
452051.000    30.4642511747   114.6599217506      8.464   -2295754.029    5000538.018    3214843.456 
452052.000    30.4641240826   114.6599413013      8.552   -2295758.748    5000543.796    3214831.356 
452053.000    30.4639964659   114.6599612826      8.602   -2295763.502    5000549.553    3214819.187 
452054.000    30.4638675097   114.6599812693      8.602   -2295768.271    5000555.339    3214806.864 
452055.000    30.4637371749   114.6600015671      8.647   -2295773.115    5000561.219    3214794.433 
452056.000    30.4636052854   114.6600212574      8.667   -2295777.933    5000567.182    3214781.840 
452057.000    30.4634721014   114.6600422524      8.702   -2295782.902    5000573.171    3214769.131 
452058.000    30.4633377004   114.6600645488      8.748   -2295788.016    5000579.179    3214756.312 
452059.000    30.4632028571   114.6600872013      8.779   -2295793.166    5000585.183    3214743.442 
452060.000    30.4630666288   114.6601085846      8.820   -2295798.242    5000591.317    3214730.445 
452061.000    30.4629286402   114.6601285860      8.846   -2295803.233    5000597.584    3214717.273 
452062.000    30.4627901791   114.6601470851      8.863   -2295808.100    5000603.928    3214704.050 
452063.000    30.4626519940   114.6601660034      8.876   -2295812.997    5000610.239    3214690.853 
452064.000    30.4625127114   114.6601861316      8.896   -2295818.027    5000616.562    3214677.553 
452065.000    30.4623713437   114.6602069745      8.910   -2295823.166    5000622.959    3214664.052 
452066.000    30.4622280070   114.6602283763      8.927   -2295828.401    5000629.436    3214650.363 
452067.000    30.4620839421   114.6602500887      8.941   -2295833.680    5000635.935    3214636.604 
452068.000    30.4619396757   114.6602712786      8.966   -2295838.921    5000642.474    3214622.831 
452069.000    30.4617936806   114.6602920792      8.980   -2295844.165    5000649.109    3214608.887 
452070.000    30.4616465103   114.6603129090      8.945   -2295849.422    5000655.764    3214594.806 
452071.000    30.4614990879   114.6603336504      8.946   -2295854.689    5000662.463    3214580.719 
452072.000    30.4613515730   114.6603546586      8.947   -2295859.982    5000669.157    3214566.623 
452073.000    30.4612048263   114.6603764707      8.978   -2295865.338    5000675.801    3214552.616 
452074.000    30.4610570742   114.6603990765      8.996   -2295870.782    5000682.457    3214538.506 
452075.000    30.4609083800   114.6604222551      9.006   -2295876.296    5000689.130    3214524.302 
452076.000    30.4607578114   114.6604457839      8.977   -2295881.870    5000695.855    3214509.899 
452077.000    30.4606059596   114.6604692920      9.000   -2295887.490    5000702.687    3214495.400 
452078.000    30.4604544761   114.6604919875      9.032   -2295893.035    5000709.539    3214480.941 
452079.000    30.4603026537   114.6605138186      9.010   -2295898.492    5000716.402    3214466.421 
452080.000    30.4601496695   114.6605352679      9.000   -2295903.948    5000723.348    3214451.797 
452081.000    30.4599966657   114.6605563831      8.984   -2295909.373    5000730.304    3214437.168 
452082.000    30.4598440534   114.6605771658      8.972   -2295914.761    5000737.256    3214422.578 
452083.000    30.4596911910   114.6605984930      8.974   -2295920.208    5000744.210    3214407.972 
452084.000    30.4595370823   114.6606208533      9.051   -2295925.801    5000751.245    3214393.284 
452085.000    30.4593815177   114.6606431676      9.049   -2295931.395    5000758.294    3214378.417 
452086.000    30.4592271648   114.6606631863      9.156   -2295936.800    5000765.459    3214363.722 
452087.000    30.4590747519   114.6606795169      9.212   -2295941.820    5000772.633    3214349.185 
452088.000    30.4589244027   114.6606931810      9.302   -2295946.570    5000779.834    3214334.863 
452089.000    30.4587759069   114.6607039139      9.405   -2295951.026    5000787.069    3214320.725 
452090.000    30.4586288449   114.6607095287      9.539   -2295955.012    5000794.459    3214306.740 
452091.000    30.4584840025   114.6607106391      9.794   -2295958.597    5000802.012    3214293.028 
452092.000    30.4583423142   114.6607051802     10.046   -2295961.533    5000809.665    3214279.616 
452093.000    30.4582045147   114.6606908186     10.270   -2295963.591    5000817.453    3214266.561 
452094.000    30.4580704969   114.6606668694     10.366   -2295964.678    5000825.332    3214253.802 
452095.000    30.4579417496   114.6606328109     10.610   -2295964.812    5000833.464    3214241.623 
452096.000    30.4578176271   114.6605908223     10.881   -2295964.155    5000841.697    3214229.899 
452097.000    30.4576988990   114.6605412630     11.022   -2295962.664    5000849.857    3214218.624 
452098.000    30.4575859208   114.6604877290     11.215   -2295960.710    5000857.923    3214207.926 
452099.000    30.4574819592   114.6604295195     11.526   -2295958.179    5000865.808    3214198.148 
452100.000    30.4573856195   114.6603679954     11.702   -2295955.131    5000873.332    3214189.032 
452101.000    30.4572964150   114.6603064991     11.844   -2295951.906    5000880.464    3214180.579 
452102.000    30.4572158039   114.6602472687     11.984   -2295948.677    5000887.063    3214172.946 
